Date,Close,Open,High,Low,Change,Volume,MA3,MA8,MA20,MA3_8,MA3_20,MA8_20,Short,Long,Category,Recommendation,Action
2016-05-18,71.5,71.5,72.0,71.0,0.0,134110,,,,,,,False,False,Balanced Doji,,
2016-05-19,70.0,71.5,72.0,70.0,2.1,294740,,,,,,,False,False,Down Red,,
2016-05-20,69.5,70.0,70.0,69.0,0.71,413900,70.33333333333333,,,,,,False,False,Up Red,,
2016-05-23,69.5,69.5,70.0,69.0,0.0,150590,69.66666666666667,,,,,,False,False,Balanced Doji,,
2016-05-24,71.0,70.0,71.0,69.5,1.43,353360,70.0,,,,,,False,False,Green,,
2016-05-25,70.0,70.5,71.0,70.0,0.71,219550,70.16666666666667,,,,,,False,False,Down Red,,
2016-05-26,69.0,69.5,70.0,69.0,0.72,114240,70.0,,,,,,False,False,Down Red,,
2016-05-27,69.0,70.0,70.0,68.5,1.43,184750,69.33333333333333,69.9375,,0.6041666666666714,,,False,False,Up Red,,
2016-05-30,69.0,69.0,69.0,68.5,0.0,157700,69.0,69.625,,0.625,,,False,False,Up Doji,,
2016-05-31,69.5,69.0,69.5,68.5,0.72,254110,69.16666666666667,69.5625,,0.3958333333333286,,,False,False,Green,,
2016-06-01,69.0,69.5,69.5,68.5,0.72,147400,69.16666666666667,69.5,,0.3333333333333286,,,False,False,Up Red,,
2016-06-02,69.0,69.0,69.5,68.5,0.0,39940,69.16666666666667,69.4375,,0.2708333333333286,,,False,False,Balanced Doji,,
2016-06-03,69.0,69.0,69.5,69.0,0.0,184710,69.0,69.1875,,0.1875,,,False,False,Down Doji,,
2016-06-06,68.5,69.0,69.0,68.5,0.72,153140,68.83333333333333,69.0,,0.1666666666666714,,,False,False,Full Red,,
2016-06-07,69.0,68.5,69.0,68.0,0.73,174210,68.83333333333333,69.0,,0.1666666666666714,,,False,False,Green,,
2016-06-08,70.0,69.0,70.0,68.5,1.45,279510,69.16666666666667,69.125,,-0.041666666666671404,,,False,False,Green,,
2016-06-09,69.5,69.5,70.0,69.0,0.0,114520,69.5,69.1875,,-0.3125,,,False,False,Balanced Doji,,
2016-06-10,70.0,69.5,70.0,69.0,0.72,405750,69.83333333333333,69.25,,-0.5833333333333286,,,False,False,Green,,
2016-06-13,69.0,70.0,70.0,69.0,1.43,232740,69.5,69.25,,-0.25,,,False,False,Full Red,,
2016-06-14,69.0,69.0,69.5,68.5,0.0,116110,69.33333333333333,69.25,69.5,-0.0833333333333286,0.1666666666666714,0.25,False,False,Balanced Doji,,
2016-06-15,68.5,69.0,69.0,68.0,0.72,84940,68.83333333333333,69.1875,69.35,0.3541666666666714,0.5166666666666657,0.16249999999999432,False,False,Up Red,,
