Date,Action,Blue,Category,Change,Close,High,Long,Low,MA20,MA3,MA3_20,MA3_8,MA8,MA8_20,Open,Recommendation,Red,Short,Volume,Yellow
2016-05-23,,,Green,2.56,80.0,80.0,False,77.5,,,,,,,78.0,,,False,803880,
2016-05-24,,,Down Green,2.45,83.5,84.0,False,81.5,,,,,,,81.5,,,False,588980,
2016-05-25,,,Green,0.6,84.0,84.0,False,83.0,,82.5,,,,,83.5,,81.0,False,184200,82.5
2016-05-26,,,Down Red,1.79,82.5,84.5,False,82.5,,83.33333333333333,,,,,84.0,,83.0,False,279620,83.33333333333333
2016-05-27,,,Green,2.42,84.5,85.0,False,82.0,,83.66666666666667,,,,,82.5,,83.33333333333333,False,428880,83.66666666666667
2016-05-30,,,Green,0.59,85.5,85.5,False,84.5,,84.16666666666667,,,,,85.0,,83.83333333333333,False,185160,84.16666666666667
2016-05-31,,,Balanced Doji,0.0,86.0,86.5,False,85.5,,85.33333333333333,,,,,86.0,,84.5,False,156180,85.33333333333333
2016-06-01,,83.9375,Up Red,0.58,85.5,86.0,False,85.0,,85.66666666666667,,-1.7291666666666714,83.9375,,86.0,,85.66666666666667,False,89680,85.66666666666667
2016-06-02,,84.625,Up Doji,0.0,85.5,85.5,False,85.0,,85.66666666666667,,-1.0416666666666714,84.625,,85.5,,85.83333333333333,False,120220,85.66666666666667
2016-06-03,,85.1875,Down Green,2.92,88.0,88.5,False,85.5,,86.33333333333333,,-1.1458333333333286,85.1875,,85.5,,85.66666666666667,False,303770,86.33333333333333
2016-06-06,,86.1875,Down Green,3.95,92.0,92.5,False,88.5,,88.5,,-2.3125,86.1875,,88.5,,86.5,False,555590,88.5
2016-06-07,,87.8125,Green,2.14,95.5,96.0,False,93.0,,91.83333333333333,,-4.020833333333329,87.8125,,93.5,,89.16666666666667,False,365940,91.83333333333333
2016-06-08,,89.0625,Up Red,1.56,94.5,96.0,False,94.0,,94.0,,-4.9375,89.0625,,96.0,,92.66666666666667,False,283670,94.0
2016-06-09,,89.9375,Red,1.07,92.5,94.0,False,91.5,,94.16666666666667,,-4.229166666666671,89.9375,,93.5,,94.33333333333333,False,304660,94.16666666666667
2016-06-10,,90.9375,Green,1.08,94.0,94.0,False,92.0,,93.66666666666667,,-2.7291666666666714,90.9375,,93.0,,94.16666666666667,False,125150,93.66666666666667
2016-06-13,,92.0,Up Doji,0.0,94.0,94.0,False,93.0,,93.5,,-1.5,92.0,,94.0,,93.5,False,123360,93.5
2016-06-14,,93.8125,Up Green,6.38,100.0,100.0,False,93.0,,96.0,,-2.1875,93.8125,,94.0,,93.66666666666667,False,313590,96.0
2016-06-15,,95.25,Up Red,1.49,99.5,101.0,False,99.0,,97.83333333333333,,-2.5833333333333286,95.25,,101.0,,96.33333333333333,False,164120,97.83333333333333
2016-06-16,,96.5,Green,2.0,102.0,103.0,False,99.5,,100.5,,-4.0,96.5,,100.0,,98.33333333333333,False,118040,100.5
2016-06-17,,97.0625,Red,0.99,100.0,103.0,False,98.0,90.45,100.5,-10.049999999999997,-3.4375,97.0625,-6.612499999999997,101.0,,100.66666666666667,False,154070,100.5
2016-06-20,,98.625,Green,2.88,107.0,107.0,False,104.0,91.8,103.0,-11.200000000000003,-4.375,98.625,-6.825000000000003,104.0,,101.66666666666667,False,288080,103.0
2016-06-21,,100.5625,Up Red,1.82,108.0,110.0,False,106.0,93.025,105.0,-11.974999999999994,-4.4375,100.5625,-7.537499999999994,110.0,,105.0,False,264300,105.0
2016-06-22,,102.3125,Doji,0.0,108.0,109.0,False,106.0,94.225,107.66666666666667,-13.441666666666677,-5.354166666666671,102.3125,-8.087500000000006,108.0,,107.33333333333333,False,99510,107.66666666666667
2016-06-23,,104.9375,Full Green,7.48,115.0,115.0,False,107.0,95.85,110.33333333333333,-14.483333333333334,-5.395833333333329,104.9375,-9.087500000000006,107.0,,108.33333333333333,False,448580,110.33333333333333
2016-06-24,,107.6875,Green,6.09,122.0,123.0,False,107.0,97.725,115.0,-17.275000000000006,-7.3125,107.6875,-9.962500000000006,115.0,,110.0,False,877910,115.0
2016-06-27,,110.5,Green,1.67,122.0,122.0,False,115.0,99.55,119.66666666666667,-20.116666666666674,-9.166666666666671,110.5,-10.950000000000003,120.0,,114.0,False,201010,119.66666666666667
2016-06-28,,112.625,Doji,0.0,119.0,121.0,False,118.0,101.2,121.0,-19.799999999999997,-8.375,112.625,-11.424999999999997,119.0,,118.0,False,135670,121.0
2016-06-29,,115.75,Full Green,5.93,125.0,125.0,False,118.0,103.175,122.0,-18.825000000000003,-6.25,115.75,-12.575000000000003,118.0,,119.0,False,299110,122.0
2016-06-30,,117.75,Down Red,1.6,123.0,127.0,False,123.0,105.05,122.33333333333333,-17.28333333333333,-4.583333333333329,117.75,-12.700000000000003,125.0,,120.66666666666667,False,136970,122.33333333333333
2016-07-01,,119.625,Doji,0.0,123.0,125.0,False,122.0,106.8,123.66666666666667,-16.866666666666674,-4.041666666666671,119.625,-12.825000000000003,123.0,,122.0,False,254340,123.66666666666667
2016-07-04,,121.625,Up Red,0.8,124.0,125.0,False,122.0,108.4,123.33333333333333,-14.933333333333323,-1.7083333333333286,121.625,-13.224999999999994,125.0,,124.33333333333333,False,204000,123.33333333333333
2016-07-05,,122.625,Full Red,1.6,123.0,125.0,False,123.0,109.775,123.33333333333333,-13.558333333333323,-0.7083333333333286,122.625,-12.849999999999994,125.0,,124.33333333333333,False,170630,123.33333333333333
2016-07-06,,122.75,Green,0.82,123.0,123.0,False,120.0,111.2,123.33333333333333,-12.133333333333326,-0.5833333333333286,122.75,-11.549999999999997,122.0,,124.0,False,189000,123.33333333333333
2016-07-07,,123.875,Up Green,4.8,131.0,131.0,False,123.0,113.125,125.66666666666667,-12.541666666666671,-1.7916666666666714,123.875,-10.75,125.0,,124.0,False,452050,125.66666666666667
2016-07-08,,125.25,Red,0.76,130.0,133.0,False,129.0,114.925,128.0,-13.075000000000003,-2.75,125.25,-10.325000000000003,131.0,,126.0,False,121180,128.0
2016-07-11,,126.125,Down Green,2.33,132.0,136.0,False,129.0,116.825,131.0,-14.174999999999997,-4.875,126.125,-9.299999999999997,129.0,,128.33333333333334,False,222850,131.0
2016-07-12,,127.625,Green,2.27,135.0,135.0,False,129.0,118.575,132.33333333333334,-13.75833333333334,-4.708333333333343,127.625,-9.049999999999997,132.0,,130.66666666666666,False,183060,132.33333333333334
2016-07-13,,129.75,Green,1.45,140.0,141.0,False,136.0,120.6,135.66666666666666,-15.066666666666663,-5.916666666666657,129.75,-9.150000000000006,138.0,,133.0,False,207820,135.66666666666666
