date,close,open,high,low,volume,change
2016-05-18,17.90,17.90,18.20,17.80,1645270,-0.10 (-0.56 %)
2016-05-19,17.70,17.90,18.00,17.70,555110,-0.20 (-1.12 %)
2016-05-20,17.50,17.70,17.80,17.40,774760,-0.20 (-1.13 %)
2016-05-23,17.10,17.60,17.60,17.10,938770,-0.40 (-2.29 %)
2016-05-24,17.30,17.10,17.30,17.00,1147300,0.20 (1.17 %)
2016-05-25,17.30,17.30,17.50,17.30,1056090,0.00 (0.00 %)
2016-05-26,17.10,17.20,17.30,16.90,1542950,-0.20 (-1.16 %)
2016-05-27,17.40,17.10,17.50,17.00,928400,0.30 (1.75 %)
2016-05-30,17.60,17.40,17.70,17.30,614250,0.20 (1.15 %)
2016-05-31,17.80,17.60,17.90,17.60,1127520,0.20 (1.14 %)
2016-06-01,17.80,17.80,18.00,17.70,1117640,0.00 (0.00 %)
2016-06-02,17.90,17.80,17.90,17.70,386210,0.10 (0.56 %)
2016-06-03,17.80,17.90,17.90,17.70,580270,-0.10 (-0.56 %)
2016-06-06,17.60,17.70,17.80,17.40,802850,-0.20 (-1.12 %)
2016-06-07,17.40,17.60,17.60,17.40,537710,-0.20 (-1.14 %)
2016-06-08,17.60,17.50,17.70,17.50,493650,0.20 (1.15 %)
2016-06-09,17.80,17.60,17.90,17.50,890310,0.20 (1.14 %)
2016-06-10,17.80,17.60,17.90,17.60,1063080,0.00 (0.00 %)
2016-06-13,17.60,17.80,17.80,17.50,584150,-0.20 (-1.12 %)
2016-06-14,17.40,17.50,17.50,17.20,976830,-0.20 (-1.14 %)
2016-06-15,17.40,17.40,17.50,17.20,497500,0.00 (0.00 %)
2016-06-16,17.20,17.30,17.50,17.20,428580,-0.20 (-1.15 %)
2016-06-17,16.90,17.30,17.30,16.90,632060,-0.30 (-1.74 %)
2016-06-20,17.00,17.00,17.10,16.90,429240,0.10 (0.59 %)
2016-06-21,17.00,17.10,17.20,16.90,281970,0.00 (0.00 %)
2016-06-22,16.90,17.20,17.20,16.80,513610,-0.10 (-0.59 %)
2016-06-23,17.20,17.00,17.20,16.90,479790,0.30 (1.78 %)
2016-06-24,16.70,17.10,17.20,16.00,1093710,-0.50 (-2.91 %)
2016-06-27,16.70,16.40,16.70,16.40,334300,0.00 (0.00 %)
2016-06-28,16.50,16.60,16.70,16.50,182440,-0.20 (-1.20 %)
2016-06-29,16.90,16.70,17.10,16.70,513620,0.40 (2.42 %)
2016-06-30,16.80,17.00,17.10,16.80,398700,-0.10 (-0.59 %)
2016-07-01,17.00,16.80,17.10,16.80,269590,0.20 (1.19 %)
2016-07-04,17.10,17.10,17.20,16.90,470750,0.10 (0.59 %)
2016-07-05,17.40,17.10,17.60,17.10,797750,0.30 (1.75 %)
2016-07-06,17.20,17.40,17.40,17.10,299650,-0.20 (-1.15 %)
2016-07-07,17.30,17.20,17.30,17.00,337740,0.10 (0.58 %)
2016-07-08,17.20,17.40,17.40,17.10,260560,-0.10 (-0.58 %)
2016-07-11,17.40,17.20,17.80,17.20,1215260,0.20 (1.16 %)
2016-07-12,17.70,17.50,17.70,17.40,2088690,0.30 (1.72 %)
2016-07-13,18.90,17.80,18.90,17.70,5165290,1.20 (6.78 %)
2016-07-14,18.60,19.30,20.20,18.60,5103110,-0.30 (-1.59 %)
2016-07-15,18.70,19.00,19.30,18.70,1463810,0.10 (0.54 %)
2016-07-18,18.70,18.50,19.00,18.30,1084130,0.00 (0.00 %)
2016-07-19,18.20,19.00,19.00,17.80,1644370,-0.50 (-2.67 %)
2016-07-20,17.80,18.20,18.20,17.70,1757120,-0.40 (-2.20 %)
2016-07-21,17.80,17.70,18.00,17.60,785170,0.00 (0.00 %)
2016-07-22,17.80,17.80,17.80,17.40,1243490,0.00 (0.00 %)
2016-07-25,17.50,17.90,17.90,17.50,463360,-0.30 (-1.69 %)
2016-07-26,17.60,17.50,17.60,17.40,271180,0.10 (0.57 %)
2016-07-27,18.00,18.00,18.20,17.50,1495190,0.40 (2.27 %)
2016-07-28,17.80,18.00,18.00,17.80,292440,-0.20 (-1.11 %)
2016-07-29,17.80,17.90,18.00,17.70,435450,0.00 (0.00 %)
2016-08-01,17.70,17.80,17.80,17.60,609860,-0.10 (-0.56 %)
2016-08-02,17.20,17.70,17.70,17.10,1344970,-0.50 (-2.82 %)
2016-08-03,17.10,17.10,17.30,17.00,449320,-0.10 (-0.58 %)
2016-08-04,17.30,17.00,17.50,17.00,610370,0.20 (1.17 %)
2016-08-05,17.10,17.00,17.40,17.00,550230,-0.20 (-1.16 %)
2016-08-08,17.20,17.20,17.20,17.00,225100,0.10 (0.58 %)
2016-08-09,16.90,17.10,17.30,16.90,434340,-0.30 (-1.74 %)
2016-08-10,17.40,17.00,17.40,17.00,452530,0.50 (2.96 %)
2016-08-11,17.60,17.40,17.80,17.30,670610,0.20 (1.15 %)
2016-08-12,17.50,17.60,17.70,17.20,399590,-0.10 (-0.57 %)
2016-08-15,17.50,17.50,17.50,17.20,278040,0.00 (0.00 %)
2016-08-16,17.30,17.30,17.50,17.30,317960,-0.20 (-1.14 %)
2016-08-17,17.30,17.40,17.40,17.20,263760,0.00 (0.00 %)
2016-08-18,17.30,17.30,17.40,17.20,269640,0.00 (0.00 %)
2016-08-19,17.10,17.20,17.30,17.00,602920,-0.20 (-1.16 %)
2016-08-22,17.20,17.20,17.20,17.10,495890,0.10 (0.58 %)
2016-08-23,17.10,17.20,17.20,17.10,242430,-0.10 (-0.58 %)
2016-08-24,17.30,17.10,17.30,17.10,427180,0.20 (1.17 %)
2016-08-25,17.10,17.30,17.30,17.10,173020,-0.20 (-1.16 %)
2016-08-26,17.40,17.20,17.60,17.20,622140,0.30 (1.75 %)
2016-08-29,17.30,17.40,17.50,17.30,214620,-0.10 (-0.57 %)
2016-08-30,17.40,17.30,17.50,17.30,667880,0.10 (0.58 %)
2016-08-31,17.40,17.40,17.50,17.30,594530,0.00 (0.00 %)
2016-09-01,17.20,17.20,17.40,17.10,376080,-0.20 (-1.15 %)
2016-09-05,17.10,17.30,17.30,17.10,314130,-0.10 (-0.58 %)
2016-09-06,17.10,17.30,17.30,17.00,395250,0.00 (0.00 %)
2016-09-07,17.20,17.00,17.30,17.00,183110,0.10 (0.58 %)
2016-09-08,17.20,17.30,17.30,17.10,321780,0.00 (0.00 %)
2016-09-09,17.40,17.30,17.40,17.20,376440,0.20 (1.16 %)
2016-09-12,17.25,17.40,17.40,17.10,396750,-0.15 (-0.86 %)
2016-09-13,17.15,17.30,17.30,17.10,166890,-0.10 (-0.58 %)
2016-09-14,16.80,17.15,17.15,16.70,420360,-0.35 (-2.04 %)
2016-09-15,16.95,16.80,17.10,16.80,304460,0.15 (0.89 %)
2016-09-16,16.95,17.00,17.00,16.90,156080,0.00 (0.00 %)
2016-09-19,17.10,16.95,17.15,16.95,510530,0.15 (0.88 %)
2016-09-20,17.05,17.00,17.10,17.00,254580,-0.05 (-0.29 %)
2016-09-21,17.00,17.05,17.10,17.00,133310,-0.05 (-0.29 %)
2016-09-22,17.00,17.10,17.10,17.00,328080,0.00 (0.00 %)
2016-09-23,16.90,17.00,17.10,16.90,192340,-0.10 (-0.59 %)
2016-09-26,16.90,16.90,17.00,16.90,220590,0.00 (0.00 %)
2016-09-27,17.15,16.85,17.20,16.85,756460,0.25 (1.48 %)
2016-09-28,17.40,17.20,17.60,17.15,841370,0.25 (1.46 %)
2016-09-29,17.15,17.50,17.50,17.15,104510,-0.25 (-1.44 %)
2016-09-30,16.95,17.10,17.15,16.95,431170,-0.20 (-1.17 %)
2016-10-03,16.95,17.00,17.20,16.95,157380,0.00 (0.00 %)
2016-10-04,17.30,16.95,17.40,16.90,701650,0.35 (2.06 %)
2016-10-05,17.60,17.30,17.85,17.20,1470580,0.30 (1.73 %)
2016-10-06,17.60,17.70,17.80,17.55,846960,0.00 (0.00 %)
2016-10-07,17.30,17.60,17.60,17.30,294700,-0.30 (-1.70 %)
2016-10-10,17.10,17.30,17.50,17.10,556460,-0.20 (-1.16 %)
2016-10-11,17.15,17.10,17.20,17.00,477450,0.05 (0.29 %)
2016-10-12,17.15,17.25,17.40,17.10,305200,0.00 (0.00 %)
2016-10-13,17.15,17.25,17.25,17.05,324480,0.00 (0.00 %)
2016-10-14,17.05,17.20,17.30,17.05,640770,-0.10 (-0.58 %)
2016-10-17,17.05,17.05,17.15,17.00,371450,0.00 (0.00 %)
2016-10-18,17.05,17.05,17.10,16.95,323370,0.00 (0.00 %)
2016-10-19,17.35,17.10,17.50,17.05,1147690,0.30 (1.76 %)
2016-10-20,17.30,17.40,17.45,17.25,301740,-0.05 (-0.29 %)
2016-10-21,17.15,17.35,17.35,17.15,239110,-0.15 (-0.87 %)
2016-10-24,17.30,17.15,17.45,17.15,825040,0.15 (0.87 %)
2016-10-25,17.20,17.40,17.40,17.10,632230,-0.10 (-0.58 %)
2016-10-26,16.95,17.20,17.20,16.95,378010,-0.25 (-1.45 %)
2016-10-27,16.60,16.95,17.00,16.60,818220,-0.35 (-2.06 %)
2016-10-28,17.00,16.90,17.00,16.60,997730,0.40 (2.41 %)
2016-10-31,16.85,16.85,17.20,16.80,248850,-0.15 (-0.88 %)
2016-11-01,16.75,16.85,16.95,16.60,279000,-0.10 (-0.59 %)
2016-11-02,16.70,16.75,16.85,16.65,401560,-0.05 (-0.30 %)
2016-11-03,16.60,16.65,16.70,16.60,346580,-0.10 (-0.60 %)
2016-11-04,16.60,16.70,16.70,16.60,155210,0.00 (0.00 %)
2016-11-07,16.70,16.60,16.75,16.60,230230,0.10 (0.60 %)
2016-11-08,16.55,16.70,16.80,16.55,302960,-0.15 (-0.90 %)
2016-11-09,16.45,16.60,16.70,16.35,482840,-0.10 (-0.60 %)
2016-11-10,16.60,16.45,16.65,16.45,669330,0.15 (0.91 %)
2016-11-11,16.45,16.60,16.65,16.45,316350,-0.15 (-0.90 %)
2016-11-14,16.50,16.55,16.55,16.45,303890,0.05 (0.30 %)
2016-11-15,16.50,16.50,16.55,16.45,225170,0.00 (0.00 %)
2016-11-16,16.40,16.60,16.60,16.40,167420,-0.10 (-0.61 %)
2016-11-17,16.25,16.40,16.50,16.25,569800,-0.15 (-0.91 %)
2016-11-18,16.25,16.25,16.35,16.15,284580,0.00 (0.00 %)
2016-11-21,16.55,16.25,16.55,16.25,591420,0.30 (1.85 %)
2016-11-22,16.75,16.50,16.75,16.45,532560,0.20 (1.21 %)
2016-11-23,16.75,16.70,16.80,16.65,412630,0.00 (0.00 %)
2016-11-24,16.40,16.65,16.75,16.30,322620,-0.35 (-2.09 %)
2016-11-25,16.25,16.50,16.50,16.20,728280,-0.15 (-0.91 %)
2016-11-28,16.10,16.30,16.30,16.05,334410,-0.15 (-0.92 %)
2016-11-29,16.05,16.05,16.25,16.05,452340,-0.05 (-0.31 %)
2016-11-30,16.10,16.05,16.20,16.00,379010,0.05 (0.31 %)
2016-12-01,16.20,16.10,16.25,16.10,441510,0.10 (0.62 %)
2016-12-02,16.15,16.25,16.35,16.15,589230,-0.05 (-0.31 %)
2016-12-05,16.05,16.30,16.30,16.05,687550,-0.10 (-0.62 %)
2016-12-06,15.70,16.05,16.20,15.70,692140,-0.35 (-2.18 %)
2016-12-07,15.65,15.70,15.80,15.60,607910,-0.05 (-0.32 %)
2016-12-08,15.55,15.65,16.00,15.55,562000,-0.10 (-0.64 %)
2016-12-09,15.40,15.55,15.70,15.40,581760,-0.15 (-0.96 %)
2016-12-12,15.00,15.50,15.50,14.80,894390,-0.40 (-2.60 %)
2016-12-13,14.60,15.10,15.10,14.55,675590,-0.40 (-2.67 %)
2016-12-14,14.65,14.60,14.85,14.60,453960,0.05 (0.34 %)
2016-12-15,14.85,14.80,15.40,14.70,616860,0.20 (1.37 %)
2016-12-16,15.00,14.95,15.00,14.85,465860,0.15 (1.01 %)
2016-12-19,15.30,15.20,15.60,15.15,882180,0.30 (2.00 %)
2016-12-20,15.25,15.30,15.60,15.25,555100,-0.05 (-0.33 %)
2016-12-21,15.20,15.25,15.40,15.10,702700,-0.05 (-0.33 %)
2016-12-22,15.10,15.25,15.30,15.00,517150,-0.10 (-0.66 %)
2016-12-23,15.20,15.05,15.20,14.95,481330,0.10 (0.66 %)
2016-12-26,15.15,15.20,15.30,15.05,326280,-0.05 (-0.33 %)
2016-12-27,15.20,15.15,15.25,15.10,263280,0.05 (0.33 %)
2016-12-28,15.20,15.20,15.25,15.10,538430,0.00 (0.00 %)
2016-12-29,15.00,15.10,15.30,15.00,882870,-0.20 (-1.32 %)
2016-12-30,15.05,15.00,15.25,14.90,430500,0.05 (0.33 %)
2017-01-03,16.10,15.25,16.10,15.25,1008370,1.05 (6.98 %)
2017-01-04,16.40,16.40,16.60,16.10,1006570,0.30 (1.86 %)
2017-01-05,16.50,16.30,16.50,16.00,892010,0.10 (0.61 %)
2017-01-06,16.65,16.10,17.10,16.10,1151370,0.15 (0.91 %)
2017-01-09,17.10,17.00,17.30,16.80,1335810,0.45 (2.70 %)
2017-01-10,16.90,17.00,17.00,16.80,693510,-0.20 (-1.17 %)
2017-01-11,17.70,16.90,17.70,16.90,2008310,0.80 (4.73 %)
