date,close,open,high,low,volume,change
2016-05-18,20.90,21.00,21.10,20.90,430010,0.00 (0.00 %)
2016-05-19,20.80,20.90,21.00,20.70,332790,-0.10 (-0.48 %)
2016-05-20,20.80,21.00,21.00,20.80,122590,0.00 (0.00 %)
2016-05-23,20.70,20.90,21.10,20.70,274580,-0.10 (-0.48 %)
2016-05-24,20.80,21.00,21.10,20.80,274420,0.10 (0.48 %)
2016-05-25,21.00,21.20,21.20,20.80,203390,0.20 (0.96 %)
2016-05-26,20.80,21.20,21.20,20.80,205030,-0.20 (-0.95 %)
2016-05-27,20.90,21.00,21.00,20.90,203020,0.10 (0.48 %)
2016-05-30,20.90,20.90,20.90,20.80,98040,0.00 (0.00 %)
2016-05-31,20.70,20.90,20.90,20.70,159940,-0.20 (-0.96 %)
2016-06-01,20.70,20.70,20.90,20.70,90700,0.00 (0.00 %)
2016-06-02,20.70,20.80,20.80,20.60,91000,0.00 (0.00 %)
2016-06-03,20.70,20.70,20.80,20.60,63940,0.00 (0.00 %)
2016-06-06,20.60,20.70,20.70,20.50,145930,-0.10 (-0.48 %)
2016-06-07,20.80,21.00,21.00,20.60,245210,0.20 (0.97 %)
2016-06-08,20.90,20.80,20.90,20.60,275480,0.10 (0.48 %)
2016-06-09,20.80,20.90,20.90,20.70,84680,-0.10 (-0.48 %)
2016-06-10,21.50,20.90,21.70,20.80,1195360,0.70 (3.37 %)
2016-06-13,21.30,21.40,21.50,21.20,394040,-0.20 (-0.93 %)
2016-06-14,21.30,21.00,21.30,21.00,185210,0.00 (0.00 %)
2016-06-15,21.30,21.30,21.30,21.10,327440,0.00 (0.00 %)
2016-06-16,21.10,21.30,21.30,21.00,381690,-0.20 (-0.94 %)
2016-06-17,20.90,21.10,21.10,20.90,238390,-0.20 (-0.95 %)
2016-06-20,20.80,20.90,21.00,20.60,170290,-0.10 (-0.48 %)
2016-06-21,21.10,20.80,21.30,20.80,457850,0.30 (1.44 %)
2016-06-22,21.40,21.00,21.40,21.00,442890,0.30 (1.42 %)
2016-06-23,21.30,21.40,21.40,21.10,287990,-0.10 (-0.47 %)
2016-06-24,20.60,21.30,21.30,20.00,723100,-0.70 (-3.29 %)
2016-06-27,20.20,20.20,20.40,20.10,267010,-0.40 (-1.94 %)
2016-06-28,20.40,20.30,20.40,20.20,88370,0.20 (0.99 %)
2016-06-29,20.50,20.50,20.70,20.40,198620,0.10 (0.49 %)
2016-06-30,20.50,20.70,20.70,20.50,196640,0.00 (0.00 %)
2016-07-01,20.40,20.60,20.60,20.40,126760,-0.10 (-0.49 %)
2016-07-04,20.70,20.40,20.80,20.40,163600,0.30 (1.47 %)
2016-07-05,20.60,20.80,20.80,20.50,298950,-0.10 (-0.48 %)
2016-07-06,20.80,20.50,21.20,20.40,462490,0.20 (0.97 %)
2016-07-07,20.80,21.10,21.10,20.70,290090,0.00 (0.00 %)
2016-07-08,20.60,20.80,20.90,20.60,262040,-0.20 (-0.96 %)
2016-07-11,20.40,20.60,20.80,20.20,395840,-0.20 (-0.97 %)
2016-07-12,20.50,20.60,20.70,20.40,185440,0.10 (0.49 %)
2016-07-13,20.70,20.50,20.80,20.50,379160,0.20 (0.98 %)
2016-07-14,20.70,20.80,21.30,20.70,922270,0.00 (0.00 %)
2016-07-15,20.90,20.90,20.90,20.70,217060,0.20 (0.97 %)
2016-07-18,20.80,20.90,21.00,20.80,168200,-0.10 (-0.48 %)
2016-07-19,20.60,20.90,20.90,20.50,248010,-0.20 (-0.96 %)
2016-07-20,20.50,20.60,20.70,20.50,188890,-0.10 (-0.49 %)
2016-07-21,20.50,20.40,20.70,20.40,145290,0.00 (0.00 %)
2016-07-22,20.50,20.50,20.50,20.30,307850,0.00 (0.00 %)
