,Date,Stocks
0,2019-01-16,ART|FCN|CII|DCM|SBT|SHS|ROS|LPB|HQC|HPG|SJF|TTF|NKG|TCH|DRH|NVL|HCM
0,2019-01-17,ART|HAI|CII|DCM|SBT|SHS|ROS|LPB|HQC|HPG|SJF|TTF|NKG|TCH|DRH|NVL|HCM
0,2019-01-18,ART|HAI|CII|DCM|SBT|SHS|ROS|LPB|HQC|SJF|TTF|NKG|DRH|NVL|HCM
0,2019-01-21,ART|HAI|CII|DCM|SBT|SHS|ROS|LPB|HQC|SJF|TTF|NKG|DRH|NVL|HCM
0,2019-01-22,HAI|CII|DCM|SBT|SHS|ROS|LPB|HQC|CTD|SJF|TTF|NKG|DRH|NVL
0,2019-01-23,HAI|CII|DCM|SBT|SHS|ROS|LPB|HQC|CTD|SJF|TTF|NKG|DRH|NVL
0,2019-01-24,HAI|CII|DCM|SHS|ROS|LPB|HQC|CTD|SJF|TTF|NKG|NVL
0,2019-01-25,HAI|CII|DCM|ROS|LPB|HQC|CTD|SJF|TTF|NKG|NVL
0,2019-01-28,HAI|CII|DCM|ROS|LPB|HQC|CTD|SJF|TTF|NKG|NVL|TSC|OIL
0,2019-01-29,HAI|CII|DCM|ROS|HQC|CTD|SJF|NKG|TSC|OIL|HUT
0,2019-01-30,HAI|DCM|ROS|HQC|CTD|FRT|SJF|NKG|HUT
0,2019-01-31,HAI|DCM|ROS|HQC|CTD|FRT|ITA|SJF|NKG|KSB|HUT
0,2019-02-01,HAI|DCM|QCG|HBC|MSN|ROS|DRC|CTD|FRT|ITA|SJF|NKG|KSB|HUT
0,2019-02-11,HAI|DCM|QCG|ROS|DRC|CTD|FRT|ITA|SJF|NKG|HUT
0,2019-02-12,DCM|QCG|ROS|FRT|SJF|HUT
0,2019-02-13,QCG|ROS|FRT|SJF|HUT
0,2019-02-14,DLG|QCG|ROS|FRT|SJF
0,2019-02-15,QCG|FRT
0,2019-02-18,FRT
0,2019-02-19,FRT
0,2019-02-20,FRT
0,2019-02-21,FRT
0,2019-02-22,FRT
0,2019-02-25,FRT
0,2019-02-26,FRT
0,2019-02-27,LDG|FRT
0,2019-02-28,LDG|FRT
0,2019-03-01,JVC|LDG|FRT|SJF
0,2019-03-04,JVC|FRT|SJF|TTB
0,2019-03-05,HAI|DPM|AMD|FRT|TTB
0,2019-03-06,HCD|AMD|FRT|TTB
0,2019-03-07,HCD|NVB|SBT|AMD|FRT|TTB|STB
0,2019-03-08,HCD|NVB|REE|SBT|AMD|FRT|TTB|STB
0,2019-03-11,HCD|REE|SBT|TCB|FRT|TTB|STB
0,2019-03-12,HCD|SBT|DGW|FRT|VNM|TTB
0,2019-03-13,SBT|ROS|DGW|FRT|VNM|TTB
0,2019-03-14,SBT|ROS|FRT|VNM|TTB
0,2019-03-15,SBT|ROS|FRT|VNM|TTB
0,2019-03-18,SBT|ROS|FRT|VNM|TTB
0,2019-03-19,SBT|ROS|FRT|NKG|VNM|TTB
0,2019-03-20,GEX|SBT|ROS|FRT|TTB
0,2019-03-21,GEX|SBT|FRT|TTB
0,2019-03-22,GEX|SBT|FRT|TTB
0,2019-03-25,FLC|DXG|GEX|SBT|FRT|DIG|HSG|TTB|VJC|OIL|IDI
0,2019-03-26,FLC|DXG|GEX|CEO|MSN|SBT|DPM|BSR|LDG|HPG|FRT|SJF|DIG|HSG|TTB|VJC|OIL|IDI
0,2019-03-27,FLC|HAI|DXG|GEX|CEO|MSN|SBT|POW|DPM|BSR|LDG|FRT|SJF|DIG|TCH|TTB|VJC|ASM|OIL|IDI|HAR
0,2019-03-28,FLC|HAI|DXG|GEX|CEO|REE|HBC|MSN|SBT|POW|DPM|BSR|LDG|AMD|FRT|SJF|DIG|TTB|VJC|ASM|OIL|IDI|KSB|HAR
