ID,Action,Budget,Date,Price,Profit,Stock,TradeFee,Value,Volume
2020-04-09-SBT,Sell,13903.420000000006,2020-04-09,13.5,-76.124,SBT,11.812,4725.0,350.0
2020-04-09-CTD,Sell,11195.208000000004,2020-04-09,54.3,121.424,CTD,6.7879999999999985,2715.0,50.0
2020-04-10-DIG,Buy,15686.408000000005,2020-04-10,11.2,0.0,DIG,11.2,4480.0,400.0
2020-04-13-VPB,Buy,20686.377000000004,2020-04-13,19.95,0.0,VPB,12.469,4987.5,250.0
2020-04-14-VGI,Buy,24505.90200000001,2020-04-14,25.4,0.0,VGI,9.525,3810.0,150.0
2020-04-14-FPT,Buy,29468.277000000016,2020-04-14,49.5,0.0,FPT,12.375,4950.0,100.0
2020-04-15-DIG,Sell,24939.627000000004,2020-04-15,11.35,37.3,DIG,11.35,4540.0,400.0
2020-04-15-GVR,Buy,29410.777000000016,2020-04-15,11.15,0.0,GVR,11.15,4460.0,400.0
2020-04-15-STB,Buy,34272.902,2020-04-15,9.7,0.0,STB,12.125,4850.0,500.0
2020-04-16-VPB,Sell,28848.996000000014,2020-04-16,21.75,422.81199999999995,VPB,13.594000000000001,5437.5,250.0
2020-04-16-FRT,Buy,33811.371,2020-04-16,16.5,0.0,FRT,12.375,4950.0,300.0
2020-04-17-VGI,Sell,29861.271,2020-04-17,26.4,130.2,VGI,9.9,3960.0,150.0
2020-04-17-FPT,Sell,24754.071,2020-04-17,51.2,144.4,FPT,12.8,5120.0,100.0
2020-04-17-LDG,Buy,29608.176,2020-04-17,5.38,0.0,LDG,12.105,4842.0,900.0
2020-04-20-GVR,Sell,25338.876,2020-04-20,10.7,-201.4,GVR,10.7,4280.0,400.0
2020-04-20-STB,Sell,20575.814,2020-04-20,9.55,-98.876,STB,11.937999999999999,4775.0,500.0
2020-04-21-FRT,Sell,14919.988999999998,2020-04-21,18.9,691.65,FRT,14.175,5670.0,300.0
2020-04-22-LDG,Sell,10529.990999999998,2020-04-22,4.89,-463.004,LDG,11.002,4401.0,900.0
2020-04-23-HPG,Buy,14860.790999999996,2020-04-23,21.6,0.0,HPG,10.8,4320.0,200.0
2020-04-28-HPG,Sell,10591.490999999998,2020-04-28,21.4,-61.4,HPG,10.7,4280.0,200.0
2020-04-28-DBC,Buy,14854.621999999998,2020-04-28,28.35,0.0,DBC,10.630999999999998,4252.5,150.0
2020-05-05-DBC,Sell,10777.340999999997,2020-05-05,27.25,-185.438,DBC,10.219,4087.5,150.0
