Stock,Bought,OnTrend
HSG,True,True
NKG,True,True
DBC,True,True
TCB,True,True
CTG,True,True
ACB,True,True
HDB,True,True
SBT,False,True
GAS,True,True
PVD,True,True
PLX,True,True
MBB,True,True
HPG,True,True
VCB,True,True
VNM,True,True
TIG,True,True
CEO,False,True
VND,True,True
SSI,True,True
PNJ,True,True
EIB,True,True
GEX,True,True
HBC,True,True
FRT,True,True
HAR,False,True
HAI,False,True
TTF,False,True
VGI,True,True
MWG,True,True
VHM,True,True
DIG,False,True
GVR,False,True
DRH,False,True
BID,True,True
NVL,False,True
VRE,True,True
PHR,True,True
VIB,True,True
NVB,False,True
POW,False,True
LPB,False,True
KSB,True,True
BVH,True,True
FCN,False,True
DCM,False,True
DPM,True,True
AAA,False,True
TNG,False,True
TCM,True,True
LDG,False,True
DRC,False,True
ITA,False,True
VJC,False,True
LDG,False,True
DRC,False,True
ITA,False,True
VJC,False,True
LDG,False,True
DRC,False,True
ITA,False,True
DRC,False,True
ITA,False,True
HAI,False,True
REE,False,True
SHS,False,True
HQC,False,True
TCH,False,True
ASM,False,True
HAI,False,True
REE,False,True
SHS,False,True
HQC,False,True
TCH,False,True
ASM,False,True
HAI,False,True
REE,False,True
SHS,False,True
HAI,False,True
REE,False,True
SHS,False,True
FCN,False,True
VGI,False,True
PLX,False,True
MBB,False,True
SHS,False,True
ACB,False,True
TCM,False,True
DBC,False,True
PVS,False,True
VND,False,True
SSI,False,True
OIL,False,True
HUT,False,True
HVN,False,True
APG,False,True
TIG,False,True
GEX,False,True
FCN,False,True
VGI,False,True
PLX,False,True
MBB,False,True
SHS,False,True
ACB,False,True
TCM,False,True
DBC,False,True
PVS,False,True
VND,False,True
SSI,False,True
STB,False,True
OIL,False,True
HUT,False,True
HVN,False,True
APG,False,True
HAG,False,True
TIG,False,True
GEX,False,True
PLX,False,True
