Date,Sell,Buy,BuyMore
2020-05-22,,DCM,BVH|FCN|DCM|DPM|AAA|TNG|AMD|TCM|FPT
2020-05-21,,FLC|PHR|VIB|POW,FLC|PHR|QCG|VIB|NVB|POW|LPB|KBC|KSB
2020-05-20,,ROS|DIG|GVR|VRE,ROS|CTD|DIG|GVR|DRH|BID|NVL|VRE
2020-05-19,,VIC|VGI|MWG|VHM,VIC|VGI|MWG|VHM
2020-05-18,,,
2020-05-15,,,
2020-05-14,,LMH,LMH|KLF
2020-05-13,,ART|PDR|HAI|HQC|TTF,ART|PDR|HAI|MBG|HQC|AMD|TTF|FIT|MST|TSC
2020-05-12,,DCM|DPM|PVX,FLC|DCM|DLG|DPM|PVX|HAR
2020-05-11,,DXG|HUT,DXG|GEX|PHR|HBC|AAA|FRT|HUT
2020-05-08,,JVC|VIB|MSN|POW|LDG|VND|MWG|SSI|SHB|NVL|VJC|HCM,TIG|JVC|CEO|VIB|NVB|MSN|POW|LDG|VND|MWG|SSI|SHB|PNJ|NVL|TDH|VJC|HCM|EIB|HVN
2020-05-07,,CII|PHR|REE|VPB|MBB|HPG|TNG|VCB|DIG|VNM|BID|STB|KSB,BVH|CII|DCM|PHR|REE|VPB|PVT|MBB|HPG|TNG|VCB|DIG|VNM|BID|STB|KSB
2020-05-06,,VIC|VGI|TPB|PLX|FPT|VRE|VHM,VIC|VGI|TPB|PLX|SHS|FPT|VRE|VHM|APG
2020-05-05,,GAS|PVS|TTB|DRH,SBT|GAS|PVD|PVS|TNG|TNI|TTB|DRH|PVX|OIL
2020-05-04,,HDB,BSR|HDB|GTN|FPT
2020-04-29,,DGW|TCM|TCH|NLG,CII|DXG|JVC|LPB|TCB|DGW|CTG|ACB|TCM|TCH|PVX|ASM|NLG
2020-04-28,BVH|TIG|ART|FLC|PDR|HAI|FCN|CII|DCM|DXG|JVC|GEX|PHR|VIC|HCD|CEO|SCR|DLG|VGI|QCG|TPB|VIB|NVB|REE|LMH|HBC|MSN|VPB|SBT|POW|DPM|AAA|PVT|PLX|MBB|SHS|HHS|GAS|BSR|PVD|PVS|LDG|ROS|LPB|DRC|VND|HDC|MBG|HQC|HPG|TNG|MWG|VCB|HDB|AMD|CTD|SSI|TCB|DGW|FRT|SHB|CTG|KBC|GTN|ITA|TNI|SJF|DIG|TTF|GVR|KLF|ACB|TCM|HSG|NKG|VNM|TCH|FIT|PNJ|TTB|FPT|DRH|BID|PVX|NVL|STB|DBC|TDH|MST|TSC|VJC|VRE|ASM|OIL|IDI|KSB|HCM|HAR|OGC|EIB|NLG|VHM|HUT|HVN|APG|HAG,SCR|HBC|DBC|IDI,FLC|CEO|SCR|REE|HBC|MSN|VPB|ROS|HDC|GTN|DIG|TTF|GVR|DBC|IDI|HAR
2020-04-27,,FCN|PHR|VGI|HHS|CTD|KBC|VNM|TSC,FCN|PHR|VGI|HHS|CTD|KBC|VNM|TSC
2020-04-24,,NVB|BSR|NKG|HAG,NVB|BSR|DGW|NKG|PNJ|FPT|HAG
2020-04-23,,FIT,PDR|FIT|APG
2020-04-22,,MBG,MBG
2020-04-21,,KLF,ART|KLF
2020-04-20,,TIG|PVS|VNM|MST|NLG,TIG|FLC|PVS|SSI|VNM|MST|EIB|NLG|VHM
2020-04-17,,SCR|BSR|CTG|GTN|SJF|TCH|BID|NVL|HUT|HAG,SCR|BSR|HQC|AMD|CTG|KBC|GTN|SJF|TCH|BID|NVL|HUT|HAG
2020-04-16,,CII|QCG|LMH|PVT|VND|HDB|ITA,CII|VIC|QCG|LMH|PVT|VND|HDB|ITA|ACB
2020-04-15,,DLG|HHS,HAI|DLG|HHS
2020-04-14,,,
2020-04-13,,,
2020-04-10,,VND,VND|AMD
2020-04-09,,DBC,TPB|PVX|DBC
2020-04-08,,NLG,QCG|KLF|NVL|OGC|NLG
