Date,Sell,Buy,BuyMore
2020-04-07,,PDR|PVD|CTD|TCH|VHM|APG,ART|FLC|PDR|DXG|JVC|DLG|NVB|LMH|VPB|PVD|LDG|ROS|DRC|CTD|ITA|TNI|TTF|TCH|TTB|DRH|ASM|OIL|IDI|HAR|EIB|VHM|HUT|APG
2020-04-06,,CII|DCM|PHR|CEO|SCR|VGI|VIB|REE|HBC|SBT|POW|AAA|PLX|MBB|SHS|GAS|BSR|PVS|LPB|HDC|TNG|MWG|HDB|SSI|TCB|CTG|SJF|DIG|GVR|ACB|TCM|HSG|NKG|PNJ|FPT|STB|TDH|TSC|KSB|HCM|HVN,CII|DCM|PHR|CEO|SCR|VGI|VIB|REE|HBC|SBT|POW|AAA|PLX|MBB|SHS|HHS|GAS|BSR|PVS|LPB|HDC|MBG|HQC|TNG|MWG|HDB|SSI|TCB|CTG|SJF|DIG|GVR|ACB|TCM|HSG|NKG|FIT|PNJ|FPT|STB|TDH|TSC|KSB|HCM|HVN
2020-04-03,,FCN|GEX|MSN|PVT|HPG|DGW|BID|VRE|HAG,FCN|GEX|MSN|PVT|HPG|DGW|FRT|BID|PVX|VRE|HAG
2020-04-01,,SHB,SHB|VJC
2020-03-31,,,HCD|MSN|DPM
2020-03-30,BVH|TIG|ART|FLC|PDR|HAI|FCN|CII|DCM|DXG|JVC|GEX|PHR|VIC|HCD|CEO|SCR|DLG|VGI|QCG|TPB|VIB|NVB|REE|LMH|HBC|MSN|VPB|SBT|POW|DPM|AAA|PVT|PLX|MBB|SHS|HHS|GAS|BSR|PVD|PVS|LDG|ROS|LPB|DRC|VND|HDC|MBG|HQC|HPG|TNG|MWG|VCB|HDB|AMD|CTD|SSI|TCB|DGW|FRT|SHB|CTG|KBC|GTN|ITA|TNI|SJF|DIG|TTF|GVR|KLF|ACB|TCM|HSG|NKG|VNM|TCH|FIT|PNJ|TTB|FPT|DRH|BID|PVX|NVL|STB|DBC|TDH|MST|TSC|VJC|VRE|ASM|OIL|IDI|KSB|HCM|HAR|OGC|EIB|NLG|VHM|HUT|HVN|APG|HAG,,PDR|VIC|VRE
2020-03-27,,,TIG|PLX|VCB|KBC|VNM|BID|NLG
2020-03-26,,BVH|HDC,BVH|SCR|GAS|HDC|DBC|APG
2020-03-25,,GTN,GTN
2020-03-24,,,NVL
2020-03-23,,,
2020-03-20,,,FCN|SCR|ROS|TTB|PVX
2020-03-19,,DCM|DPM|TNI|HUT,DCM|GEX|DPM|AAA|PLX|SHS|TNI|SJF|TTF|OIL|HAR|HUT
2020-03-18,,DLG,FLC|HCD|DLG|TPB|REE|SHB|ITA
2020-03-17,,FIT|TSC,NVB|FIT|TSC
2020-03-16,,ART,ART|TNG
2020-03-13,,,KLF
2020-03-12,,,
2020-03-11,,VND,VND
2020-03-10,,,
2020-03-09,,,
2020-03-06,,HCD|SCR,HCD|SCR|PVT|PVS|HDC|VCB|GTN|TCM|HSG|BID|VHM
2020-03-05,,FCN|POW|PVD|MBG|SSI|TTF|HCM|HVN,TIG|FCN|CII|NVB|MSN|POW|PVD|ROS|MBG|SSI|DGW|SJF|TTF|TTB|DBC|OIL|HCM|HVN|APG
2020-03-04,,FLC|DCM|DXG|DLG|LDG|DIG|TSC|HAG,FLC|DCM|DXG|CEO|DLG|HBC|AAA|MBB|LDG|VND|TNG|HDB|KBC|ITA|DIG|PVX|NVL|TSC|HAG
2020-03-03,,BSR|CTD|MST,ART|PHR|DPM|BSR|HQC|CTD|TCB|TNI|KLF|MST|HAR|OGC|HUT
2020-03-02,,HHS|AMD,PDR|HAI|VIB|HHS|AMD|CTG|ACB|ASM|NLG
2020-02-28,,SHS|IDI,TPB|SHS|LPB|IDI|EIB
2020-02-27,,QCG|VPB|FPT|KSB,QCG|VPB|VNM|FPT|STB|MST|KSB
2020-02-26,,SHB,SHB
2020-02-25,,JVC,JVC|NVB
2020-02-24,,,VIC
2020-02-21,,BVH|VNM,BVH|GEX|PVS|KBC|VNM
2020-02-20,,HCD|LMH|MSN|DRC|KLF|NKG|TTB|PVX|OIL,HCD|LMH|MSN|DRC|KLF|NKG|TTB|PVX|OIL
2020-02-19,,HAI|HQC,HAI|HQC|HUT|HAG
2020-02-18,,SCR,SCR|MWG|VCB|HSG|BID
2020-02-17,,LDG,PDR|LDG
2020-02-14,,TPB|OGC|VHM,TPB|LPB|MWG|VCB|SJF|PNJ|OGC|VHM
2020-02-13,,VIB|ITA|ASM,VIB|SHB|ITA|NVL|ASM
2020-02-12,,FCN|MSN|POW|BSR|TCM|OIL,FCN|QCG|MSN|POW|BSR|ROS|VND|TCM|FIT|OIL|IDI|HCM
2020-02-11,,MST,TIG|ART|DCM|REE|LMH|SBT|PLX|LDG|GTN|DIG|TTF|NKG|VNM|TTB|MST|VJC|HAR|HUT|HVN
2020-02-10,,,BVH|FLC|HAI|DXG|PHR|HCD|CEO|TPB|HBC|DPM|PVT|SHS|GAS|PVD|PVS|DRC|HDC|HQC|HPG|TNG|VCB|SSI|TCB|KBC|KLF|FPT|DRH|PVX|DBC|TDH|TSC|KSB|NLG|VHM|HAG
2020-02-07,,CTD|SJF|STB,DLG|VGI|VIB|AAA|MBB|AMD|CTD|DGW|SJF|ACB|STB|VRE
2020-02-06,,MBG|HDB|FRT|TNI,NVB|MBG|HDB|FRT|TNI
2020-02-05,,SCR|VPB,SCR|VPB|BID
2020-02-04,,CTG,CTG
2020-02-03,,,
2020-01-31,,JVC,JVC|SBT|EIB
2020-01-30,,,DLG|POW|GTN|SJF|MST
2020-01-22,,FCN|DCM|QCG|TNG|TCM|DRH|ASM|IDI,BVH|FCN|DCM|QCG|GAS|PVD|PVS|TNG|DIG|TCM|DRH|DBC|ASM|IDI|OGC|HAG
2020-01-21,BVH|TIG|ART|FLC|PDR|HAI|FCN|CII|DCM|DXG|JVC|GEX|PHR|VIC|HCD|CEO|SCR|DLG|VGI|QCG|TPB|VIB|NVB|REE|LMH|HBC|MSN|VPB|SBT|POW|DPM|AAA|PVT|PLX|MBB|SHS|HHS|GAS|BSR|PVD|PVS|LDG|ROS|LPB|DRC|VND|HDC|MBG|HQC|HPG|TNG|MWG|VCB|HDB|AMD|CTD|SSI|TCB|DGW|FRT|SHB|CTG|KBC|GTN|ITA|TNI|SJF|DIG|TTF|KLF|ACB|TCM|HSG|NKG|VNM|TCH|FIT|PNJ|TTB|FPT|DRH|BID|PVX|NVL|STB|DBC|TDH|MST|TSC|VJC|VRE|ASM|OIL|IDI|KSB|HCM|HAR|OGC|EIB|NLG|VHM|HUT|HVN|APG|HAG,ART|CEO|HBC|BSR|TTB,ART|FLC|HAI|CEO|NVB|HBC|BSR|LDG|HQC|AMD|TTB|TDH|HAR|HUT|APG
2020-01-20,,VNM,PLX|TNI|VNM|OIL|KSB|HVN
2020-01-17,,AAA|MWG|CTD,TIG|FCN|GEX|AAA|TNG|MWG|CTD|KLF|FIT|FPT
2020-01-16,,PHR|TCB|TTF|NVL,PHR|VGI|REE|HHS|TCB|TTF|PVX|NVL
2020-01-15,,PDR,PDR|CEO|QCG|MSN|TTB
2020-01-14,,,VIB|SHS|VND|VJC|NLG|APG
2020-01-13,,CII|TPB|MSN|SSI|DGW|ACB|HCM|VHM,CII|VIC|TPB|MSN|DPM|LPB|VCB|SSI|DGW|ACB|MST|VRE|HCM|VHM
2020-01-10,,MBB|HPG|HDB|SHB|HSG|PNJ|STB|EIB,PDR|NVB|MBB|HPG|HDB|SHB|KBC|HSG|PNJ|STB|EIB
2020-01-09,,,
2020-01-08,,,OGC
2020-01-07,,JVC|GAS|TNG,ART|JVC|PHR|GAS|TNG|FRT|FIT|PVX
2020-01-06,,GEX|BSR,TIG|GEX|HHS|BSR|HSG|VNM
2020-01-03,,PVS|HAG,PVS|VND|SSI|STB|OIL|HUT|HVN|APG|HAG
2020-01-02,,VGI|MBB|ACB|DBC,FCN|VGI|PLX|MBB|SHS|ACB|TCM|DBC
