Date,Sell,Buy,BuyMore
2020-05-21,,,
2020-05-20,,HDB,
2020-05-19,,HDB,
2020-05-18,,HDB,
2020-05-17,,,
2020-05-16,,,
2020-05-15,,HDB,
2020-05-14,,HDB,
2020-05-13,,HDB,
2020-05-12,,HDB,
2020-05-11,,HDB,
2020-05-10,,,
2020-05-09,,,
2020-05-08,,HDB,
2020-05-07,,HDB,
2020-05-06,,HDB,
2020-05-05,,HDB,
2020-05-04,,HDB,
2020-05-03,,,
2020-05-02,,,
2020-05-01,,,
2020-04-30,,,
2020-04-29,,,
2020-04-28,,,
2020-04-27,,,
2020-04-26,,,
2020-04-25,,,
2020-04-24,,,
2020-04-23,HDB,,
2020-04-22,,HDB,
2020-04-21,,HDB,
2020-04-20,,HDB,
2020-04-19,,,
2020-04-18,,,
2020-04-17,,HDB,
2020-04-16,,HDB,
2020-04-15,,,
2020-04-14,HDB,,
2020-04-13,,HDB,
2020-04-12,,,
2020-04-11,,,
2020-04-10,,HDB,
2020-04-09,,HDB,
2020-04-08,,HDB,
2020-04-07,,HDB,
2020-04-06,,HDB,
2020-04-05,,,
2020-04-04,,,
2020-04-03,,,
2020-04-02,,,
2020-04-01,,,
2020-03-31,,,
2020-03-30,,,
2020-03-29,,,
2020-03-28,,,
2020-03-27,,,
2020-03-26,,,
2020-03-25,,,
2020-03-24,,,
2020-03-23,,,
2020-03-22,,,
2020-03-21,,,
2020-03-20,,,
2020-03-19,,,
2020-03-18,,,
2020-03-17,,,
2020-03-16,,,
2020-03-15,,,
2020-03-14,,,
2020-03-13,,,
2020-03-12,,,
2020-03-11,,,
2020-03-10,,,
2020-03-09,HDB,,
2020-03-08,,,
2020-03-07,,,
2020-03-06,,HDB,
2020-03-05,,HDB,
2020-03-04,,HDB,
2020-03-03,,,
2020-03-02,,,
2020-03-01,,,
2020-02-29,,,
2020-02-28,,,
2020-02-27,,,
2020-02-26,,,
2020-02-25,,,
2020-02-24,,,
2020-02-23,,,
2020-02-22,,,
2020-02-21,,,
2020-02-20,,,
2020-02-19,,,
2020-02-18,,,
2020-02-17,,,
2020-02-16,,,
2020-02-15,,,
2020-02-14,HDB,,
2020-02-13,,HDB,
2020-02-12,,HDB,
2020-02-11,,HDB,
2020-02-10,,HDB,
2020-02-09,,,
2020-02-08,,,
2020-02-07,,HDB,
2020-02-06,,HDB,
2020-02-05,,,
2020-02-04,,,
2020-02-03,,,
2020-02-02,,,
2020-02-01,,,
2020-01-31,HDB,,
2020-01-30,,HDB,
2020-01-29,,,
2020-01-28,,,
2020-01-27,,,
2020-01-26,,,
2020-01-25,,,
2020-01-24,,,
2020-01-23,,,
2020-01-22,,HDB,
2020-01-21,,HDB,
2020-01-20,,HDB,
2020-01-19,,,
2020-01-18,,,
2020-01-17,,HDB,
2020-01-16,,HDB,
2020-01-15,,HDB,
2020-01-14,,HDB,
2020-01-13,,HDB,
2020-01-12,,,
2020-01-11,,,
2020-01-10,,HDB,
2020-01-09,,,
2020-01-08,,,
2020-01-07,HDB,,
2020-01-06,,HDB,
2020-01-05,,,
2020-01-04,,,
2020-01-03,,HDB,
2020-01-02,,HDB,
2020-01-01,,,
