ID,Date,MA8,Stock
2020-01-02-FCN,2020-01-02,9.99999999999998,FCN
2020-01-02-VGI,2020-01-02,24.9375,VGI
2020-01-02-PLX,2020-01-02,56.1375000000001,PLX
2020-01-02-MBB,2020-01-02,20.937500000000007,MBB
2020-01-02-SHS,2020-01-02,7.724999999999992,SHS
2020-01-02-ACB,2020-01-02,22.77499999999995,ACB
2020-01-02-TCM,2020-01-02,19.13124999999998,TCM
2020-01-02-DBC,2020-01-02,24.38125,DBC
2020-01-03-PVS,2020-01-03,17.674999999999983,PVS
2020-01-03-VND,2020-01-03,14.406250000000016,VND
2020-01-03-SSI,2020-01-03,18.21875,SSI
2020-01-03-STB,2020-01-03,10.124999999999988,STB
2020-01-03-OIL,2020-01-03,8.199999999999978,OIL
2020-01-03-HUT,2020-01-03,2.387499999999994,HUT
2020-01-03-HVN,2020-01-03,34.00625000000001,HVN
2020-01-03-APG,2020-01-03,9.698750000000002,APG
2020-01-03-HAG,2020-01-03,4.037499999999996,HAG
2020-01-06-TIG,2020-01-06,6.612499999999999,TIG
2020-01-06-GEX,2020-01-06,19.51875000000001,GEX
2020-01-06-HHS,2020-01-06,3.189999999999989,HHS
2020-01-06-BSR,2020-01-06,8.212499999999986,BSR
2020-01-06-HSG,2020-01-06,7.976250000000006,HSG
2020-01-06-VNM,2020-01-06,117.4749999999997,VNM
2020-01-07-ART,2020-01-07,2.5249999999999977,ART
2020-01-07-JVC,2020-01-07,3.4350000000000067,JVC
2020-01-07-PHR,2020-01-07,39.35624999999995,PHR
2020-01-07-GAS,2020-01-07,95.94999999999996,GAS
2020-01-07-TNG,2020-01-07,15.300000000000017,TNG
2020-01-07-FRT,2020-01-07,22.1999999999999,FRT
2020-01-07-FIT,2020-01-07,10.162499999999996,FIT
2020-01-07-PVX,2020-01-07,1.124999999999999,PVX
2020-01-08-OGC,2020-01-08,3.5187500000000056,OGC
2020-01-10-PDR,2020-01-10,25.518750000000004,PDR
2020-01-10-NVB,2020-01-10,9.224999999999977,NVB
2020-01-10-MBB,2020-01-10,21.043750000000006,MBB
2020-01-10-HPG,2020-01-10,23.875,HPG
2020-01-10-HDB,2020-01-10,27.362499999999986,HDB
2020-01-10-SHB,2020-01-10,6.562499999999997,SHB
2020-01-10-KBC,2020-01-10,15.24374999999999,KBC
2020-01-10-HSG,2020-01-10,7.997500000000002,HSG
2020-01-10-PNJ,2020-01-10,86.58749999999998,PNJ
2020-01-10-STB,2020-01-10,10.159999999999991,STB
2020-01-10-EIB,2020-01-10,17.55625,EIB
2020-01-13-CII,2020-01-13,23.03125000000001,CII
2020-01-13-VIC,2020-01-13,114.77500000000013,VIC
2020-01-13-TPB,2020-01-13,21.275000000000013,TPB
2020-01-13-MSN,2020-01-13,56.80000000000007,MSN
2020-01-13-DPM,2020-01-13,12.768750000000004,DPM
2020-01-13-LPB,2020-01-13,7.51250000000001,LPB
2020-01-13-VCB,2020-01-13,88.82499999999996,VCB
2020-01-13-SSI,2020-01-13,18.175,SSI
2020-01-13-DGW,2020-01-13,23.0375,DGW
2020-01-13-ACB,2020-01-13,22.637499999999953,ACB
2020-01-13-MST,2020-01-13,5.250000000000006,MST
