Stock,Start,End,Change,Volume
TVB,16.65,11.4,-31.53,1126522.0
VPI,41.0,42.1,2.68,580542.0
PDR,24.9,26.0,4.42,1007830.0
HDC,15.15,16.15,6.6,1019918.0
CRE,15.0,16.3,8.67,1127396.0
CII,18.1,19.85,9.67,1173638.0
VND,11.35,12.75,12.33,922406.0
EIB,14.65,16.9,15.36,477388.0
SHB,12.2,14.1,15.57,10314432.0
NLG,20.0,23.35,16.75,814772.0
FPT,41.1,48.0,16.79,1734672.0
DIG,10.35,12.1,16.91,1049554.0
SBT,12.7,14.9,17.32,2474558.0
GTN,13.95,17.1,22.58,1434332.0
KBC,11.1,13.85,24.77,3937490.0
GEX,13.8,17.25,25.0,4009102.0
VNM,91.0,114.8,26.15,1152188.0
MBB,13.55,17.3,27.68,7071886.0
SSI,11.6,14.85,28.02,6882582.0
MSN,49.0,62.8,28.16,1341054.0
ACB,17.8,22.9,28.65,4717311.4
DPM,11.45,14.9,30.13,4601128.0
CTG,17.2,22.55,31.1,7001840.0
BID,30.85,40.7,31.93,1838076.0
BFC,10.0,13.25,32.5,947664.0
HDB,17.8,23.7,33.15,821060.0
PNJ,46.9,62.7,33.69,924670.0
VGC,14.1,18.95,34.4,475870.0
GAS,54.8,73.9,34.85,769270.0
BVH,37.0,50.4,36.22,1248750.0
VPB,16.95,23.1,36.28,5889134.0
VCB,62.0,84.5,36.29,984486.0
VHM,55.0,75.0,36.36,3586362.0
DRC,14.55,19.9,36.77,878634.0
TCB,15.0,20.9,39.33,2352668.0
VRE,19.15,26.9,40.47,5447816.0
MWG,58.9,84.7,43.8,1211640.0
HVN,17.8,27.8,56.18,1583258.0
HPG,16.85,27.2,61.42,14638138.0
SZC,12.6,20.5,62.7,2264884.0
VCI,14.2,23.35,64.44,811342.0
VHC,20.5,33.9,65.37,754286.0
HCM,11.15,18.9,69.51,3099040.0
KSB,12.2,22.65,85.66,1694138.0
DBC,18.8,39.05,107.71,3512906.0
FRT,11.15,24.9,123.32,1669568.0
