ID,Date,Price,Sellable,Stock,Value,Volume
2020-05-20-VIC,2020-05-20,96.6,False,VIC,9660.0,100
2020-05-20-MWG,2020-05-20,86.5,False,MWG,8650.0,100
2020-05-20-VHM,2020-05-20,77.1,False,VHM,7709.999999999999,100
