Date,Sell,Buy,BuyMore
2020-02-11,BVH|FLC|HAI|PHR|CEO|SCR|DLG|TPB|VIB|NVB|HBC|VPB|DPM|AAA|PVT|MBB|SHS|GAS|PVD|PVS|LDG|DRC|HDC|HQC|HPG|TNG|VCB|HDB|AMD|SSI|TCB|FRT|CTG|KBC|TTF|KLF|ACB|NKG|VNM|FPT|PVX|DBC|TDH|TSC|VRE|HAR|NLG|VHM|HUT|APG|HAG,DXG|VGI|MBG|CTD|DGW|KSB,TIG|ART|DCM|REE|LMH|SBT|PLX|LDG|GTN|DIG|TTF|NKG|VNM|TTB|MST|VJC|HAR|HUT|HVN
2020-02-10,HAI|JVC|SCR|DLG|VGI|TPB|VIB|NVB|AAA|MBB|PVS|HPG|VCB|AMD|SJF|KLF|ACB|PVX|DBC|VRE|APG,MBG|HDB|CTD|DGW|FRT|STB,BVH|FLC|HAI|DXG|PHR|HCD|CEO|TPB|HBC|DPM|PVT|SHS|GAS|PVD|PVS|DRC|HDC|HQC|HPG|TNG|VCB|SSI|TCB|KBC|KLF|FPT|DRH|PVX|DBC|TDH|TSC|KSB|NLG|VHM|HAG
2020-02-09,,,
2020-02-08,,,
2020-02-07,JVC|NVB|CTG|BID,VPB|MBG|HDB|CTD|FRT,DLG|VGI|VIB|AAA|MBB|AMD|CTD|DGW|SJF|ACB|STB|VRE
2020-02-06,PDR|JVC|SJF|BID,VPB|CTG|APG,NVB|MBG|HDB|FRT|TNI
2020-02-05,HHS|SJF|DRH,CTG,SCR|VPB|BID
2020-02-04,PDR|HHS|CTD|SHB|SJF|DRH|HAR|EIB,,CTG
2020-02-03,ART|FLC|PDR|HAI|FCN|DCM|VGI|QCG|VPB|SBT|POW|BSR|VND|HQC|TNG|AMD|CTD|CTG|GTN|KLF|TCM|HSG|DRH|BID|MST|ASM|KSB|HAR|OGC|EIB|NLG|VHM|HUT|APG,,
2020-02-02,,,
2020-02-01,,,
2020-01-31,ART|FLC|HAI|FCN|DCM|GEX|CEO|DLG|VGI|QCG|VIB|REE|HBC|POW|AAA|PLX|MBB|GAS|BSR|PVD|PVS|LDG|LPB|DRC|HQC|HPG|TNG|MWG|VCB|HDB|AMD|SSI|TCB|DGW|GTN|TNI|DIG|TTF|KLF|ACB|TCM|HSG|VNM|TTB|PVX|NVL|STB|TDH|MST|ASM|OIL|IDI|KSB|HCM|OGC|NLG|VHM|HUT|HAG,CTD,JVC|SBT|EIB
2020-01-30,BVH|FLC|FCN|CII|DCM|GEX|PHR|CEO|DLG|VIB|REE|HBC|AAA|PLX|MBB|GAS|PVD|PVS|LDG|LPB|HQC|HPG|MWG|VCB|HDB|CTD|SSI|TCB|DGW|TNI|DIG|KLF|ACB|VNM|PNJ|TTB|PVX|NVL|STB|DBC|TDH|VJC|OIL|IDI|HCM|NLG|HVN|HAG,VGI|BSR|TCM|VHM,DLG|POW|GTN|SJF|MST
2020-01-29,,,
2020-01-28,,,
2020-01-27,,,
2020-01-26,,,
2020-01-25,,,
2020-01-24,,,
2020-01-23,,,
2020-01-22,CII|GEX|PHR|NVB|VCB|NKG|PVX|NVL|TDH|VJC|HUT,VGI|PLX|HPG|MWG|CTD|TCB|DGW|ACB|VNM|KSB|NLG|VHM,BVH|FCN|DCM|QCG|GAS|PVD|PVS|TNG|DIG|TCM|DRH|DBC|ASM|IDI|OGC|HAG
2020-01-21,BVH|TIG|TIG|ART|FLC|PDR|HAI|FCN|CII|CII|DCM|DXG|JVC|GEX|PHR|PHR|VIC|VIC|HCD|CEO|SCR|DLG|VGI|QCG|TPB|TPB|VIB|NVB|NVB|REE|LMH|HBC|MSN|VPB|SBT|POW|DPM|AAA|PVT|PLX|MBB|SHS|SHS|HHS|GAS|BSR|PVD|PVS|LDG|ROS|LPB|DRC|VND|HDC|MBG|HQC|HPG|TNG|TNG|MWG|VCB|HDB|AMD|CTD|SSI|TCB|DGW|FRT|SHB|SHB|CTG|KBC|GTN|ITA|TNI|TNI|SJF|DIG|TTF|KLF|KLF|ACB|TCM|HSG|NKG|VNM|TCH|FIT|PNJ|TTB|FPT|FPT|DRH|BID|PVX|NVL|NVL|STB|DBC|TDH|MST|TSC|VJC|VRE|ASM|OIL|IDI|KSB|HCM|HAR|OGC|EIB|NLG|VHM|HUT|HUT|HVN|HVN|APG|HAG,VGI|REE|PLX|MWG|VCB|CTD|DGW|VNM|PNJ|VJC,ART|FLC|HAI|CEO|NVB|HBC|BSR|LDG|HQC|AMD|TTB|TDH|HAR|HUT|APG
2020-01-20,TIG|FCN|VIC|CEO|VGI|QCG|TPB|SHS|TNG|SHB|KBC|TTF|KLF|HSG|FIT|PVX|EIB|VHM|APG,PHR|REE|MWG|VCB|CTD|SSI|ACB|PNJ|NVL|VJC,PLX|TNI|VNM|OIL|KSB|HVN
2020-01-19,,,
2020-01-18,,,
2020-01-17,PDR|FCN|VIC|CEO|VGI|QCG|TPB|VIB|NVB|REE|HBC|SHS|HHS|HPG|KBC|TTF|KLF|TCM|PVX|NVL|EIB|NLG|VHM|APG,CII|PHR|MWG|VCB|SSI|DGW|PNJ|VJC,TIG|FCN|GEX|AAA|TNG|MWG|CTD|KLF|FIT|FPT
2020-01-16,PDR|CEO|QCG|NVB|MSN|SBT|DPM|SHS|VND|VCB|TCM|TTB|PVX|STB|MST|VJC|EIB|NLG|VHM|APG,CII|HPG|HDB|DGW|ACB|PNJ,PHR|VGI|REE|HHS|TCB|TTF|PVX|NVL
2020-01-15,VIC|VIB|NVB|MSN|DPM|SHS|LPB|VND|VCB|HDB|TCM|TTB|STB|MST|VJC|VRE|HCM|OGC|EIB|NLG,CII|HPG|DGW|PNJ|VHM,PDR|CEO|QCG|MSN|TTB
2020-01-14,PDR|JVC|VIC|DLG|NVB|MSN|DPM|LPB|VND|TNG|VCB|SSI|VNM|MST|VJC|VRE|HCM,CII|DGW|SHB|PNJ|VHM,VIB|SHS|VND|VJC|NLG|APG
2020-01-13,PDR|JVC|GEX|NVB|GAS|PVS|TNG|KBC|VNM|TDH|OGC,CII|HDB|TCM|PNJ|VHM,CII|VIC|TPB|MSN|DPM|LPB|VCB|SSI|DGW|ACB|MST|VRE|HCM|VHM
2020-01-12,,,
2020-01-11,,,
2020-01-10,JVC|GEX|GAS|PVD|PVS|TNG|APG,,PDR|NVB|MBB|HPG|HDB|SHB|KBC|HSG|PNJ|STB|EIB
2020-01-09,TIG|FCN|CII|JVC|GEX|PLX|GAS|BSR|PVS|FIT|PVX|OIL|OGC|APG,TCM|VNM,
2020-01-08,TIG|ART|FCN|JVC|PHR|TPB|REE|MSN|PLX|MBB|HHS|BSR|HPG|MWG|SSI|FRT|SHB|DIG|HSG|FIT|PNJ|PVX|STB|DBC|MST|VJC|VRE|OIL|HAG,GAS|PVS|TCM,OGC
2020-01-07,TIG|ART|VGI|PLX|MBB|HHS|BSR|LPB|HDB|SSI|TCB|DGW|ACB|HSG|PVX|STB|DBC|HCM|EIB|HVN|APG,GAS|PVS|TCM,ART|JVC|PHR|GAS|TNG|FRT|FIT|PVX
2020-01-06,VGI|SHS|LDG|VND|HDC|VCB|SSI|ITA|ACB|FPT|NVL|STB|VHM|HUT|HVN,PLX|PVS,TIG|GEX|HHS|BSR|HSG|VNM
2020-01-05,,,
2020-01-04,,,
2020-01-03,PDR|DXG|SCR|VGI|PVT|SHS|TNI|NLG,,PVS|VND|SSI|STB|OIL|HUT|HVN|APG|HAG
2020-01-02,KBC|TTB|STB|HAG,,FCN|VGI|PLX|MBB|SHS|ACB|TCM|DBC
2020-01-01,,,
