Date,Sell,Buy,BuyMore
2020-05-19,BVH|ART|FLC|PDR|HAI|CII|DCM|DXG|JVC|DLG|QCG|VIB|REE|HBC|MSN|AAA|PVT|SHS|BSR|LDG|VND|HQC|TNG|AMD|CTD|FRT|ITA|DIG|TTF|KLF|TCM|VNM|TCH|FIT|BID|STB|TDH|TSC|ASM|OIL|IDI|HAR|OGC|NLG|HUT|HVN,GEX|VPB|GAS|HDC|HPG|MWG|VCB|HSG|PNJ|DBC,VIC|VGI|MWG|VHM
2020-05-18,BVH|TIG|FCN|CII|DCM|DXG|PHR|CEO|DLG|QCG|VIB|REE|SBT|DPM|AAA|PVT|PLX|MBB|SHS|HHS|PVS|LDG|LPB|VND|HQC|TNG|HDB|AMD|CTD|FRT|CTG|KBC|ITA|SJF|DIG|GVR|TCM|NKG|VNM|TCH|PNJ|DRH|BID|STB|OIL|KSB|NLG|VHM|HVN|HAG,GEX|MSN|VPB|VCB|HCM,
2020-05-17,,,
2020-05-16,,,
2020-05-15,BVH|TIG|FCN|CII|DCM|PHR|VIC|VGI|VIB|NVB|VPB|POW|DPM|AAA|PLX|MBB|HHS|GAS|PVD|PVS|LDG|LPB|VND|MBG|HPG|TNG|MWG|CTD|SSI|TCB|DGW|SHB|CTG|KBC|GTN|TNI|SJF|DIG|GVR|KLF|ACB|TCM|VNM|TCH|PNJ|TTB|DRH|PVX|DBC|OIL|KSB|OGC|NLG|VHM|APG,PDR|GEX|TPB|FRT,
2020-05-14,FLC|PHR|VIC|VGI|VIB|NVB|VPB|SBT|POW|GAS|PVD|LPB|DRC|MBG|HPG|MWG|DGW|SHB|KBC|GTN|TNI|GVR|ACB|TCH|FPT|DRH|PVX|VJC|VRE|OIL|KSB|EIB|VHM|APG,BVH|PDR|CII|DXG|TPB|REE|HBC|MSN|PLX|TNG|VCB|CTD|FRT|TCM|HSG|VNM|PNJ|BID|DBC|NLG|HVN,LMH|KLF
2020-05-13,FLC|JVC|GEX|VIC|NVB|FRT|FIT|FPT|PVX|NVL|MST|VJC|VRE|HAR|EIB|APG,BVH|TIG|CII|DXG|PHR|TPB|REE|MSN|VPB|PVT|PLX|MBB|GAS|PVD|PVS|VND|HPG|TNG|VCB|HDB|CTD|TCB|DGW|CTG|GVR|TCM|VNM|TCH|PNJ|DRH|BID|DBC|KSB|HCM|NLG|HVN,ART|PDR|HAI|MBG|HQC|AMD|TTF|FIT|MST|TSC
2020-05-12,ART|JVC|GEX|NVB|HBC|FRT|GVR|NVL,BVH|VIC|TPB|VIB|REE|MSN|VPB|PLX|MBB|GAS|PVD|PVS|VND|MWG|VCB|HDB|CTD|SSI|TCB|SHB|CTG|GTN|TCM|VNM|TCH|PNJ|FPT|DRH|BID|DBC|VJC|KSB|HCM|NLG|VHM,FLC|DCM|DLG|DPM|PVX|HAR
2020-05-11,TIG|ART|PDR|FCN|JVC|PHR|NVB|HHS|DRC|HDC|ITA|HSG|NKG|OGC,BVH|VIC|VGI|TPB|MSN|VPB|PLX|MBB|SHS|GAS|HPG|MWG|VCB|HDB|CTD|SSI|TCB|SHB|CTG|GTN|ACB|VNM|TCH|PNJ|FPT|DRH|BID|NVL|DBC|VJC|KSB|HCM|NLG|VHM,DXG|GEX|PHR|HBC|AAA|FRT|HUT
2020-05-10,,,
2020-05-09,,,
2020-05-08,ART|PDR|DCM|PHR|HCD|REE|PVT|DRC|KBC|ITA|SJF|OGC,BVH|VIC|VGI|MSN|VPB|PLX|GAS|HPG|MWG|VCB|HDB|CTD|TCB|DGW|CTG|GTN|GVR|ACB|VNM|FPT|DRH|BID|VJC|VRE|KSB|VHM,TIG|JVC|CEO|VIB|NVB|MSN|POW|LDG|VND|MWG|SSI|SHB|PNJ|NVL|TDH|VJC|HCM|EIB|HVN
2020-05-07,PDR|HCD|LPB|HDB|ITA|SJF|TTF|TSC|OGC|NLG|APG,VIC|VGI|PLX|GAS|HPG|CTD|DGW|GTN|GVR|VNM|TCH|FPT|DRH|BID|DBC|VRE|VHM,BVH|CII|DCM|PHR|REE|VPB|PVT|MBB|HPG|TNG|VCB|DIG|VNM|BID|STB|KSB
2020-05-06,ART|PDR|CII|DCM|PHR|SCR|POW|BSR|TNG|KBC|TTF|KLF|TCM|TTB|PVX|NVL|DBC|TSC|IDI|NLG|HUT|APG|HAG,VIC|GAS|DRC|HDB|CTD|DGW|GTN|GVR|TCH,VIC|VGI|TPB|PLX|SHS|FPT|VRE|VHM|APG
2020-05-05,FCN|CII|DCM|DXG|PHR|VGI|QCG|REE|HBC|MSN|VPB|POW|HHS|HDC|TNG|AMD|CTD|KBC|TTF|KLF|ACB|TCM|NKG|FIT|FPT|NVL|DBC|TSC|HAR|HUT|HAG,PDR|DRC|HDB|DGW|CTG|TCH|NLG,SBT|GAS|PVD|PVS|TNG|TNI|TTB|DRH|PVX|OIL
2020-05-04,ART|FLC|HAI|CII|DXG|JVC|PHR|VGI|QCG|REE|HBC|MSN|VPB|POW|AAA|ROS|LPB|HDC|HPG|AMD|CTD|TCB|FRT|KBC|GTN|TTF|ACB|TCM|NKG|VNM|TCH|FIT|FPT|PVX|NVL|DBC|TSC|KSB|HCM|HAR|HUT|HAG,PDR|DGW|CTG|NLG,BSR|HDB|GTN|FPT
2020-05-03,,,
2020-05-02,,,
2020-05-01,,,
2020-04-30,,,
2020-04-29,TIG|FLC|HAI|CEO|VGI|QCG|NVB|REE|MSN|VPB|AAA|ROS|HDC|MBG|HPG|FRT|GTN|DIG|TTF|VNM|FIT|FPT|DBC|IDI|HCM|HAR,PHR|POW|CTD|KBC|GVR,CII|DXG|JVC|LPB|TCB|DGW|CTG|ACB|TCM|TCH|PVX|ASM|NLG
2020-04-28,BVH|TIG|TIG|ART|ART|FLC|PDR|PDR|HAI|FCN|CII|DCM|DXG|JVC|GEX|PHR|VIC|HCD|CEO|SCR|DLG|VGI|VGI|QCG|TPB|VIB|NVB|NVB|REE|LMH|HBC|MSN|VPB|SBT|POW|DPM|DPM|AAA|AAA|PVT|PLX|MBB|SHS|HHS|GAS|BSR|PVD|PVS|LDG|ROS|LPB|DRC|DRC|VND|HDC|MBG|MBG|HQC|HQC|HPG|HPG|TNG|MWG|MWG|VCB|HDB|AMD|CTD|SSI|TCB|DGW|DGW|FRT|FRT|SHB|CTG|KBC|GTN|ITA|TNI|SJF|SJF|DIG|TTF|GVR|KLF|ACB|TCM|HSG|NKG|VNM|TCH|FIT|PNJ|TTB|FPT|FPT|DRH|BID|PVX|NVL|STB|DBC|TDH|MST|TSC|VJC|VRE|ASM|OIL|OIL|IDI|KSB|KSB|HCM|HCM|HAR|OGC|OGC|EIB|EIB|NLG|NLG|VHM|HUT|HUT|HVN|HVN|APG|HAG,PHR|QCG|CTD|NKG|VNM|DBC,FLC|CEO|SCR|REE|HBC|MSN|VPB|ROS|HDC|GTN|DIG|TTF|GVR|DBC|IDI|HAR
2020-04-27,DCM|SCR|NVB|LMH|DPM|PVT|BSR|DRC|MBG|HQC|DGW|SJF|PNJ|TTB|FPT|DRH|TDH|VJC|KSB|OGC|EIB|NLG|HUT|HVN|APG,PHR|QCG|AAA|HPG|CTD|FRT|VNM,FCN|PHR|VGI|HHS|CTD|KBC|VNM|TSC
2020-04-26,,,
2020-04-25,,,
2020-04-24,PDR|CII|DXG|HCD|SCR|PVT|ITA|TCH|DRH|HUT|APG,HPG|MWG|FRT|KSB,NVB|BSR|DGW|NKG|PNJ|FPT|HAG
2020-04-23,TIG|ART|PDR|FCN|CII|DXG|GEX|CEO|SCR|VGI|VIB|LMH|HBC|SBT|PVT|PLX|HHS|BSR|PVD|HQC|MWG|VCB|HDB|CTD|DGW|KBC|ITA|DIG|TCH|PNJ|TTB|FPT|DRH|NVL|DBC|TDH|VJC|OIL|OGC|NLG|HUT|HAG,DCM|MBG|FRT|KSB,PDR|FIT|APG
2020-04-22,BVH|FCN|CII|DXG|JVC|GEX|PHR|CEO|VGI|TPB|VIB|HBC|SBT|PVT|PLX|MBB|HHS|BSR|PVD|PVS|LDG|LPB|VND|VCB|HDB|CTD|SSI|TCB|DGW|CTG|KBC|GTN|DIG|ACB|HSG|NKG|TCH|FIT|PNJ|FPT|NVL|STB|DBC|TDH|MST|TSC|VJC|VRE|ASM|OIL|IDI|HCM|HAR|NLG|VHM|HAG,DCM|DPM|FRT|KSB|HVN,MBG
2020-04-21,BVH|TIG|ART|FLC|FCN|CII|JVC|GEX|PHR|VIC|DLG|VGI|QCG|TPB|VIB|REE|HBC|MSN|VPB|AAA|PLX|MBB|SHS|HHS|GAS|PVS|LDG|LPB|DRC|VND|HDC|HQC|HPG|TNG|HDB|AMD|CTD|SSI|TCB|DGW|SHB|CTG|KBC|GTN|DIG|TTF|GVR|ACB|HSG|NKG|VNM|FIT|PNJ|FPT|BID|PVX|STB|DBC|TDH|MST|TSC|VJC|VRE|ASM|IDI|HCM|HAR|EIB|NLG|VHM|HAG,PVT|MWG|FRT|NVL|OIL|KSB|HVN,ART|KLF
2020-04-20,BVH|HAI|DLG|REE|MSN|VPB|SHS|LPB|HDC|MBG|TNG|AMD|SHB|CTG|TNI|TTF|GVR|TCM|BID|PVX|STB|ASM|IDI|APG|HAG,CII|DXG|GEX|PHR|SBT|AAA|PVT|PLX|GAS|DRC|HPG|MWG|VCB|HDB|CTD|FRT|TCH|PNJ|FPT|DRH|DBC|TDH|VJC|OIL|KSB|HVN,TIG|FLC|PVS|SSI|VNM|MST|EIB|NLG|VHM
2020-04-19,,,
2020-04-18,,,
2020-04-17,ART|FCN|VIC|MSN|POW|DPM|SHS|MBG|TNI|TTF|TCM|PVX|APG,BVH|CII|GEX|PHR|VGI|TPB|HBC|SBT|AAA|PLX|MBB|GAS|LPB|DRC|HDC|HPG|MWG|VCB|HDB|CTD|FRT|HSG|PNJ|FPT|DBC|TDH|VJC|KSB|HCM|HVN,SCR|BSR|HQC|AMD|CTG|KBC|GTN|SJF|TCH|BID|NVL|HUT|HAG
2020-04-16,ART|HAI|FCN|VIC|CEO|DLG|SHS|GAS|PVD|PVS|LDG|TNI|VNM|FIT|TSC|OIL|OGC|NLG|VHM|HUT|APG,BVH|GEX|PHR|VGI|MSN|VPB|AAA|DRC|HPG|TNG|MWG|CTD|DGW|GVR|TCM|HSG|PNJ|FPT|DBC|TDH|VRE|HCM|HVN,CII|VIC|QCG|LMH|PVT|VND|HDB|ITA|ACB
2020-04-15,PDR|VIC|PVT|PLX|GAS|PVS|LDG|ROS|VND|SJF|VNM|TCH|BID|NVL|TSC|OIL|OGC|NLG|HUT|HAG,GEX|PHR|VGI|MSN|VPB|SHS|MBG|HPG|TNG|MWG|CTD|DGW|GVR|TCM|PNJ|FPT|DRH|DBC|TDH|VJC|VRE|HCM|VHM|HVN,HAI|DLG|HHS
2020-04-14,BVH|TIG|ART|FLC|PDR|DXG|VIC|HCD|SCR|QCG|TPB|VIB|LMH|AAA|PLX|HHS|GAS|BSR|PVS|LDG|ROS|LPB|DRC|VND|VCB|HDB|CTD|FRT|CTG|GTN|SJF|ACB|VNM|TCH|PNJ|TTB|BID|NVL|STB|OIL|NLG|VHM|HUT|HAG,VGI|MSN|VPB|SHS|MBG|HPG|MWG|DGW|SHB|GVR|FPT|DRH|DBC|VJC|VRE|KSB|HVN,
2020-04-13,BVH|TIG|ART|FLC|PDR|DCM|DXG|HCD|SCR|DLG|VGI|QCG|TPB|LMH|MSN|AAA|HHS|VND|HQC|TNG|HDB|AMD|CTD|SSI|DGW|FRT|CTG|KBC|GTN|ITA|SJF|KLF|ACB|HSG|TCH|TTB|FPT|BID|NVL|STB|ASM|IDI|VHM|HAG,VIC|REE|VPB|PLX|SHS|GAS|PVD|DRC|MBG|MWG|VCB|SHB|GVR|PNJ|DRH|DBC|VJC|VRE|KSB|HVN|APG,
2020-04-12,,,
2020-04-11,,,
