Date,MA3,MA8,MA20,3-8,3-20,8-20
2020-01-02,46.38333333333336,45.55,42.86249999999998,-0.8333333333333641,-3.5208333333333783,-2.687500000000014
2020-01-03,46.583333333333364,45.793749999999996,43.197499999999984,-0.7895833333333684,-3.3858333333333803,-2.596250000000012
2020-01-06,46.46666666666669,45.90625,43.50499999999998,-0.5604166666666899,-2.9616666666667086,-2.4012500000000188
2020-01-07,46.40000000000003,46.09375,43.83999999999999,-0.306250000000027,-2.560000000000038,-2.253750000000011
2020-01-08,46.53333333333336,46.456250000000004,44.19999999999999,-0.0770833333333556,-2.3333333333333712,-2.2562500000000156
2020-01-09,47.8166666666667,46.8875,44.67749999999999,-0.9291666666666956,-3.1391666666667106,-2.210000000000015
2020-01-10,49.350000000000044,47.5375,45.19249999999998,-1.8125000000000426,-4.157500000000063,-2.34500000000002
2020-01-13,50.350000000000044,48.03125000000001,45.602499999999985,-2.318750000000037,-4.747500000000059,-2.428750000000022
2020-01-14,50.500000000000036,48.43125000000001,46.01249999999999,-2.0687500000000227,-4.487500000000047,-2.418750000000024
2020-01-15,50.400000000000034,48.968750000000014,46.48999999999999,-1.43125000000002,-3.9100000000000463,-2.4787500000000264
2020-01-16,51.70000000000004,49.99375000000001,47.08999999999999,-1.7062500000000256,-4.610000000000049,-2.9037500000000236
2020-01-17,52.83333333333337,50.843750000000014,47.65499999999999,-1.989583333333357,-5.178333333333384,-3.1887500000000273
2020-01-20,53.600000000000044,51.61875000000001,48.18249999999998,-1.9812500000000313,-5.417500000000061,-3.4362500000000296
2020-01-21,53.600000000000044,52.162500000000016,48.64499999999998,-1.4375000000000284,-4.955000000000062,-3.517500000000034
2020-01-22,54.26666666666671,52.687500000000014,49.17499999999998,-1.5791666666666941,-5.091666666666725,-3.5125000000000313
2020-01-30,54.0666666666667,53.01250000000001,49.549999999999976,-1.0541666666666885,-4.516666666666723,-3.462500000000034
2020-01-31,53.23333333333337,53.18750000000001,49.91499999999998,-0.0458333333333627,-3.318333333333392,-3.2725000000000293
2020-02-03,52.5666666666667,53.50000000000001,50.27999999999997,0.9333333333333087,-2.2866666666667257,-3.2200000000000344
2020-02-04,53.13333333333336,53.550000000000004,50.69499999999998,0.416666666666643,-2.4383333333333823,-2.8550000000000253
2020-02-05,53.80000000000003,53.550000000000004,51.062499999999986,-0.2500000000000284,-2.737500000000047,-2.4875000000000185
2020-02-06,53.700000000000024,53.5375,51.377499999999976,-0.16250000000002274,-2.3225000000000477,-2.160000000000025
2020-02-07,52.80000000000002,53.25,51.627499999999976,0.4499999999999815,-1.172500000000042,-1.6225000000000236
2020-02-10,51.33333333333335,52.45,51.792499999999976,1.116666666666653,0.45916666666662564,-0.6575000000000273
2020-02-11,50.53333333333336,52.212500000000006,51.99749999999997,1.6791666666666458,1.4641666666666069,-0.21500000000003894
2020-02-12,50.23333333333337,52.12500000000001,52.18249999999997,1.8916666666666373,1.9491666666665992,0.057499999999961915
2020-02-13,50.66666666666671,51.737500000000004,52.21999999999997,1.0708333333332973,1.5533333333332635,0.4824999999999662
2020-02-14,50.400000000000034,51.18750000000001,52.15499999999997,0.787499999999973,1.7549999999999386,0.9674999999999656
2020-02-17,50.63333333333336,50.93750000000001,52.22499999999998,0.3041666666666458,1.5916666666666188,1.287499999999973
2020-02-18,51.16666666666669,50.78750000000001,52.31999999999998,-0.3791666666666842,1.1533333333332862,1.5324999999999704
2020-02-19,51.60000000000002,50.73750000000001,52.33499999999998,-0.8625000000000114,0.7349999999999568,1.5974999999999682
2020-02-20,51.53333333333336,51.01250000000001,52.199999999999974,-0.5208333333333499,0.6666666666666146,1.1874999999999645
2020-02-21,50.700000000000024,50.85000000000001,51.99999999999998,0.14999999999998437,1.2999999999999545,1.1499999999999702
2020-02-24,49.03333333333336,50.28750000000001,51.64999999999998,1.2541666666666487,2.6166666666666174,1.3624999999999687
2020-02-25,48.200000000000024,50.08750000000001,51.38999999999997,1.8874999999999886,3.189999999999948,1.3024999999999594
2020-02-26,47.366666666666696,49.71250000000001,50.964999999999975,2.3458333333333172,3.5983333333332794,1.2524999999999622
2020-02-27,47.63333333333336,49.162500000000016,50.68499999999997,1.5291666666666544,3.0516666666666055,1.5224999999999511
2020-02-28,46.53333333333336,48.350000000000016,50.38499999999997,1.8166666666666558,3.8516666666666097,2.034999999999954
2020-03-02,45.91666666666669,47.58125000000001,49.96749999999997,1.6645833333333186,4.05083333333328,2.3862499999999613
2020-03-03,45.85000000000003,47.03125000000001,49.59249999999998,1.1812499999999773,3.74249999999995,2.5612499999999727
2020-03-04,46.0666666666667,46.612500000000004,49.22499999999998,0.5458333333333059,3.1583333333332817,2.612499999999976
2020-03-05,46.5666666666667,46.65625,48.89749999999998,0.0895833333333016,2.330833333333281,2.2412499999999795
2020-03-06,46.55000000000003,46.4125,48.65499999999997,-0.13750000000003126,2.10499999999994,2.2424999999999713
2020-03-09,45.700000000000024,45.987500000000004,48.379999999999974,0.2874999999999801,2.67999999999995,2.39249999999997
2020-03-10,44.28333333333336,45.4,47.95999999999997,1.1166666666666387,3.6766666666666126,2.559999999999974
2020-03-11,41.81666666666669,44.64375,47.39249999999998,2.827083333333306,5.575833333333286,2.74874999999998
2020-03-12,39.5166666666667,43.5875,46.70749999999998,4.070833333333297,7.190833333333281,3.1199999999999832
2020-03-13,37.05000000000003,42.1,45.95749999999998,5.049999999999969,8.90749999999995,3.8574999999999804
2020-03-16,34.833333333333364,40.431250000000006,45.02249999999998,5.597916666666642,10.189166666666615,4.591249999999974
