,Stock,MinPrice,MaxPrice
0,LCG,3.7,5.8
1,PSL,15.5,25.1
2,DCM,5.31,8.46
3,VIG,0.5,0.9
4,HCD,2.01,3.8
5,DTA,3.46,6.1
6,BTP,11.0,16.6
7,DNM,14.8,36.7
8,MPT,0.8,1.5
9,BII,0.5,0.8
10,PVB,7.6,15.3
11,HSL,3.38,6.54
12,MML,35.5,59.8
13,SHS,5.6,9.2
14,AMV,10.8,16.8
15,DST,1.0,1.9
16,HDG,16.2,25.65
17,PVD,6.75,10.45
18,MBG,4.9,10.3
19,DHM,3.99,6.09
20,CCL,3.93,6.61
21,TNG,7.7,13.5
22,NHP,0.3,0.5
23,FRT,10.5,23.1
24,SHB,11.9,18.0
25,PTC,4.17,7.48
26,SRA,6.0,9.9
27,ABS,16.9,35.2
28,KLF,1.4,2.4
29,HSG,4.55,7.4
30,NKG,4.4,6.66
31,PLC,10.8,17.0
32,C69,4.2,6.8
33,C4G,3.6,5.5
34,DRH,3.05,5.43
35,PXS,2.48,3.98
36,PVX,0.7,1.1
37,DBC,17.25,28.35
38,SAB,115.5,180.6
39,TDH,5.79,8.88
40,AFX,2.8,5.1
41,VIM,15.7,23.9
42,LTG,12.9,21.6
43,PPI,0.3,0.5
44,BCC,5.1,7.7
45,G36,2.7,5.2
46,BMI,14.75,22.6
47,KSB,12.2,18.9
48,HCM,11.15,17.15
49,VRC,4.33,6.73
50,HVN,17.8,27.8
