Date,Action,Blue,Category,Change,Close,High,Long,Low,MA20,MA3,MA3_20,MA3_8,MA8,MA8_20,Open,Recommendation,Red,Short,Volume,Yellow
2020-06-11,,63.88750000000002,Down Doji,-6.92,60.5,65.0,False,60.5,63.64999999999983,63.666666666666366,-0.016666666666544927,0.22083333333364408,63.88750000000002,-0.2375000000001889,60.5,Start Selling,64.19999999999995,False,2000670,63.666666666666366
2020-06-10,,64.31250000000001,Short Red,-0.76,65.0,65.6,False,64.0,63.80499999999982,65.53333333333303,-1.728333333333211,-1.2208333333330188,64.31250000000001,-0.5075000000001921,65.5,Start Buying,65.39999999999993,False,808850,65.53333333333303
2020-06-09,,64.07500000000002,Up Red,-0.91,65.5,66.7,False,64.8,63.79999999999983,65.09999999999971,-1.2999999999998693,-1.0249999999996788,64.07500000000002,-0.2750000000001904,66.6,Start Buying,64.76666666666661,False,741240,65.09999999999971
2020-06-08,,63.725000000000016,Full Green,3.77,66.1,66.2,False,64.1,63.714999999999826,64.49999999999969,-0.7849999999998616,-0.7749999999996646,63.725000000000016,-0.010000000000196962,64.1,Start Buying,63.83333333333329,False,2208530,64.49999999999969
2020-06-05,,63.33750000000003,Short Green,0.0,63.7,63.7,False,63.4,63.394999999999825,63.599999999999675,-0.20499999999984908,-0.2624999999996547,63.33750000000003,0.0574999999998056,63.6,Start Selling,63.56666666666661,False,540200,63.599999999999675
2020-06-04,,63.40000000000002,Short Red,0.47,63.7,64.0,False,63.4,63.11999999999985,63.433333333332996,-0.31333333333316915,-0.033333333332983266,63.40000000000002,-0.2800000000001859,63.8,Start Selling,63.69999999999993,False,790280,63.433333333332996
2020-06-03,,63.43750000000002,Short Green,0.32,63.4,63.8,False,63.1,62.80999999999983,63.49999999999967,-0.6899999999998485,-0.06249999999965894,63.43750000000002,-0.6275000000001896,63.3,,63.56666666666661,False,454850,63.49999999999967
2020-06-02,,63.412500000000016,Full Red,-1.1,63.2,64.0,False,63.2,62.464999999999826,63.39999999999968,-0.934999999999846,0.012500000000351008,63.412500000000016,-0.947500000000197,64.0,Continue Watching,63.29999999999993,False,570230,63.39999999999968
2020-06-01,,63.51250000000002,Short Green,1.27,63.9,64.3,False,63.3,62.104999999999826,63.23333333333299,-1.1283333333331742,0.2791666666670167,63.51250000000002,-1.4075000000001907,63.4,Continue Watching,62.79999999999993,False,704970,63.23333333333299
2020-05-29,,63.52500000000001,Short Green,0.64,63.1,64.0,False,62.1,61.73499999999982,62.933333333332996,-1.1983333333331745,0.5916666666670167,63.52500000000001,-1.790000000000191,62.5,Continue Watching,63.1666666666666,False,764030,62.933333333332996
2020-05-28,,63.67500000000001,Short Green,-0.48,62.7,63.1,False,62.2,61.42499999999983,63.29999999999968,-1.874999999999844,0.37500000000034106,63.67500000000001,-2.2500000000001847,62.5,Continue Watching,63.79999999999993,False,796350,63.29999999999968
2020-05-27,,63.77500000000001,Down Red,-1.87,63.0,65.0,False,63.0,61.14999999999983,63.73333333333301,-2.5833333333331794,0.04166666666699825,63.77500000000001,-2.6250000000001776,64.5,Start Selling,64.13333333333327,False,1268400,63.73333333333301
2020-05-26,,63.65000000000001,Short Red,0.31,64.2,64.8,False,63.9,60.89999999999983,63.79999999999968,-2.8999999999998423,-0.14999999999966462,63.65000000000001,-2.7500000000001776,64.4,,63.83333333333327,False,1048050,63.79999999999968
2020-05-25,,63.575,Down Green,1.27,64.0,64.3,False,63.5,60.66499999999983,63.73333333333301,-3.068333333333179,-0.1583333333330046,63.575,-2.9100000000001742,63.5,Start Selling,63.56666666666661,False,709350,63.73333333333301
2020-05-22,,63.68749999999999,Short Red,-1.25,63.2,63.7,False,62.8,60.43499999999983,63.73333333333301,-3.298333333333177,-0.045833333333014536,63.68749999999999,-3.252500000000161,63.6,Start Selling,63.59999999999993,False,801200,63.73333333333301
2020-05-21,,63.7625,Green,0.0,64.0,64.0,False,63.0,60.214999999999826,64.09999999999968,-3.8849999999998417,-0.3374999999996717,63.7625,-3.54750000000017,63.6,,63.83333333333325,False,1380800,64.09999999999968
2020-05-20,,63.22499999999999,Green,-0.47,64.0,64.4,False,63.4,59.909999999999826,63.933333333332996,-4.02333333333317,-0.7083333333330161,63.22499999999999,-3.3150000000001536,63.6,Start Buying,63.233333333333256,False,691470,63.933333333332996
2020-05-19,,62.49999999999999,Doji,1.26,64.3,65.3,False,63.5,59.71999999999985,63.266666666666346,-3.5466666666665034,-0.7666666666663531,62.49999999999999,-2.7800000000001504,64.3,Start Buying,63.29999999999993,False,1052410,63.266666666666346
2020-05-18,,61.64999999999999,Green,2.42,63.5,64.0,False,61.5,59.489999999999846,63.033333333333005,-3.5433333333331736,-1.3833333333330202,61.64999999999999,-2.1600000000001534,61.8,Start Selling,63.133333333333255,False,785810,63.033333333333005
2020-05-15,,60.77499999999999,Up Red,-2.52,62.0,63.9,False,61.5,59.264999999999844,63.49999999999967,-4.234999999999843,-2.724999999999689,60.77499999999999,-1.5100000000001543,63.8,Start Selling,63.866666666666575,False,1381060,63.49999999999967
2020-05-14,,60.02499999999999,Red,-2.0,63.6,64.9,False,63.3,59.12499999999985,64.09999999999968,-4.974999999999838,-4.07499999999969,60.02499999999999,-0.9000000000001478,63.8,Start Buying,62.49999999999991,False,1021220,64.09999999999968
2020-05-13,,59.13749999999999,Green,1.72,64.9,65.5,False,62.0,58.819999999999844,62.799999999999685,-3.979999999999848,-3.662499999999703,59.13749999999999,-0.3175000000001447,64.0,Start Buying,61.13333333333322,False,1460490,62.799999999999685
2020-05-12,,58.13749999999998,Up Green,6.87,63.8,63.8,False,58.7,58.45499999999985,60.56666666666636,-2.1116666666665225,-2.429166666666376,58.13749999999998,0.3174999999998533,59.7,Start Buying,59.13333333333322,False,2362950,60.56666666666636
2020-05-11,,57.31249999999999,Doji,2.58,59.7,59.9,False,58.3,58.144999999999825,58.466666666666356,-0.3216666666665233,-1.15416666666637,57.31249999999999,0.8324999999998468,59.7,Start Buying,58.23333333333324,False,1231840,58.466666666666356
2020-05-08,,57.09999999999998,Green,1.22,58.2,59.5,False,57.9,58.05999999999983,57.399999999999686,0.6600000000001387,-0.2999999999997129,57.09999999999998,0.9599999999998516,58.0,,56.99999999999991,False,1518960,57.399999999999686
2020-05-07,,57.262499999999974,Green,1.77,57.5,57.6,False,56.8,57.95999999999983,56.66666666666635,1.2933333333334789,0.5958333333336228,57.262499999999974,0.6974999999998559,57.0,Continue Watching,56.599999999999895,False,823310,56.66666666666635
2020-05-06,,57.49999999999998,Down Green,0.89,56.5,56.8,False,56.0,57.93499999999983,56.33333333333302,1.6016666666668091,1.1666666666669556,57.49999999999998,0.43499999999985306,56.0,Continue Watching,56.53333333333325,False,932630,56.33333333333302
2020-05-05,,57.78749999999998,Red,-0.88,56.0,57.1,False,55.7,57.88499999999985,56.466666666666356,1.4183333333334789,1.3208333333336242,57.78749999999998,0.09749999999985448,56.8,Continue Watching,56.83333333333324,False,786060,56.466666666666356
2020-05-04,,58.024999999999984,Red,-0.7,56.5,58.0,False,56.2,57.67999999999985,56.866666666666355,0.8133333333334818,1.15833333333363,58.024999999999984,-0.3450000000001481,56.8,Continue Watching,57.23333333333324,False,274490,56.866666666666355
2020-04-29,,58.48749999999999,Doji,-0.52,56.9,57.4,False,56.7,57.284999999999826,57.366666666666355,-0.08166666666652134,1.1208333333336356,58.48749999999999,-1.2025000000001569,56.9,Continue Watching,58.2999999999999,False,890670,57.366666666666355
2020-04-28,,58.83749999999999,Red,-1.38,57.2,58.4,False,57.0,56.784999999999826,58.23333333333302,-1.4483333333331814,0.6041666666669769,58.83749999999999,-2.0525000000001583,58.0,Continue Watching,59.199999999999896,False,716420,58.23333333333302
