Date,Action,Blue,Category,Change,Close,High,Long,Low,MA20,MA3,MA3_20,MA3_8,MA8,MA8_20,Open,Recommendation,Red,Short,Volume,Yellow
2020-06-11,,15.581249999999995,Doji,0.0,16.2,16.4,False,15.3,15.182500000000005,16.18333333333334,-1.000833333333336,-0.6020833333333435,15.581249999999995,-0.3987499999999926,16.2,,16.333333333333375,False,3115710,16.18333333333334
2020-06-10,,15.43125,Short Green,0.31,16.2,16.6,False,15.75,15.110000000000005,16.150000000000006,-1.0400000000000011,-0.7187500000000071,15.43125,-0.3212499999999938,16.1,Start Buying,16.000000000000046,False,2622800,16.150000000000006
2020-06-09,,15.26875,Full Red,0.31,16.15,16.7,False,16.1,15.047500000000005,15.766666666666673,-0.7191666666666663,-0.4979166666666704,15.26875,-0.22124999999999595,16.7,Start Buying,15.666666666666709,False,2200060,15.766666666666673
2020-06-08,,15.112500000000002,Full Green,6.98,16.1,16.1,False,15.2,14.965000000000007,15.400000000000004,-0.4349999999999987,-0.2875000000000032,15.112500000000002,-0.14749999999999552,15.2,,15.100000000000042,False,3888870,15.400000000000004
2020-06-05,,14.968750000000005,Up Red,0.0,15.05,15.1,False,14.9,14.900000000000004,15.016666666666673,-0.11666666666666535,-0.047916666666667496,14.968750000000005,-0.06874999999999787,15.1,,15.016666666666708,False,2147320,15.016666666666673
2020-06-04,,14.962500000000004,Short Green,0.67,15.05,15.2,False,14.95,14.885000000000005,14.98333333333334,-0.0983333333333345,-0.020833333333335702,14.962500000000004,-0.07749999999999879,15.0,,15.016666666666708,False,2391630,14.98333333333334
2020-06-03,,14.931250000000002,Doji,0.0,14.95,15.0,False,14.8,14.845000000000004,14.96666666666667,-0.12166666666666615,-0.035416666666668206,14.931250000000002,-0.08624999999999794,14.95,,15.000000000000036,False,2182430,14.96666666666667
2020-06-02,,14.925000000000004,Up Red,-0.33,14.95,15.1,False,14.8,14.810000000000004,14.950000000000005,-0.1399999999999988,-0.025000000000000355,14.925000000000004,-0.11499999999999845,15.1,,14.966666666666706,False,2278140,14.950000000000005
2020-06-01,,14.943750000000005,Short Green,0.67,15.0,15.0,False,14.8,14.770000000000005,14.933333333333335,-0.16333333333333222,0.010416666666666076,14.943750000000005,-0.1737499999999983,14.95,Continue Watching,14.916666666666705,False,2283640,14.933333333333335
2020-05-29,,14.937500000000005,Short Green,0.0,14.9,14.9,False,14.7,14.727500000000004,14.91666666666667,-0.18916666666666693,0.020833333333333925,14.937500000000005,-0.21000000000000085,14.85,Continue Watching,15.033333333333369,False,2152040,14.91666666666667
2020-05-28,,14.950000000000005,Short Red,-0.33,14.9,15.0,False,14.8,14.670000000000005,14.950000000000005,-0.2799999999999976,1.7763568394002505e-15,14.950000000000005,-0.27999999999999936,14.95,Continue Watching,15.016666666666705,False,2274090,14.950000000000005
2020-05-27,,14.925000000000004,Up Red,-0.33,14.95,15.3,False,14.8,14.607500000000005,14.91666666666667,-0.3091666666666644,0.008333333333336412,14.925000000000004,-0.3175000000000008,15.3,Continue Watching,14.966666666666706,False,2475670,14.91666666666667
2020-05-26,,14.906250000000007,Down Green,1.35,15.0,15.35,False,14.8,14.545000000000005,14.900000000000004,-0.35499999999999865,0.006250000000003197,14.906250000000007,-0.36125000000000185,14.8,Start Selling,14.833333333333368,False,3187300,14.900000000000004
2020-05-25,,14.875000000000005,Down Doji,-0.67,14.8,14.9,False,14.8,14.497500000000004,14.933333333333335,-0.4358333333333313,-0.05833333333333179,14.875000000000005,-0.3774999999999995,14.8,Start Selling,14.933333333333369,False,2147130,14.933333333333335
2020-05-22,,14.893750000000004,Doji,-1.32,14.9,15.2,False,14.75,14.460000000000004,14.983333333333334,-0.5233333333333317,-0.0895833333333318,14.893750000000004,-0.4337499999999999,14.9,Start Selling,15.000000000000036,False,2288600,14.983333333333334
