Date,Close,Open,High,Low,Change,Volume,MA3,MA8,MA20,MA3_8,MA3_20,MA8_20,Short,Long,Category,Recommendation,Action
2020-05-20,86.5,86.1,86.7,85.7,0.0,1101050,86.39999999999998,84.5625,82.77499999999998,-1.8374999999999773,-3.625,-1.7875000000000227,False,False,Short Green,Continue Buying,
2020-05-19,87.2,87.5,87.7,86.5,0.0,1674810,84.93333333333331,84.225,82.66499999999998,-0.7083333333333286,-2.2683333333333455,-1.5600000000000165,False,False,Short Red,Start Buying,
2020-05-18,85.5,82.0,85.6,82.0,4.27,2183740,83.53333333333332,83.64999999999998,82.40499999999997,0.11666666666667425,-1.1283333333333443,-1.2450000000000188,False,False,Full Green,Continue Watching,
2020-05-15,82.1,83.2,83.8,82.0,1.32,1106330,82.99999999999999,83.1125,81.97499999999998,0.11250000000001137,-1.0250000000000057,-1.137500000000017,False,False,Down Red,Start Selling,
2020-05-14,83.0,82.0,83.8,82.0,1.22,1040460,83.39999999999998,82.76249999999997,81.70999999999998,-0.6375000000000028,-1.690000000000012,-1.052500000000009,False,False,Down Green,Start Selling,
2020-05-13,83.9,82.0,84.1,81.1,2.32,1673920,84.06666666666666,82.31249999999999,81.29999999999998,-1.7541666666666766,-2.76666666666668,-1.0125000000000028,False,False,Green,Start Selling,
2020-05-12,83.3,84.8,84.8,82.5,1.77,1938080,84.03333333333333,82.0375,80.85499999999998,-1.995833333333337,-3.1783333333333563,-1.1825000000000188,False,False,Up Red,Continue Buying,
2020-05-11,85.0,85.0,85.6,83.8,0.0,1257030,83.8,81.7375,80.27499999999998,-2.0625,-3.5250000000000203,-1.46250000000002,False,False,Doji,Continue Buying,
2020-05-08,83.8,83.0,85.9,83.0,0.96,2361840,82.53333333333332,81.3875,79.67499999999998,-1.1458333333333144,-2.8583333333333343,-1.71250000000002,False,False,Down Green,Start Buying,
2020-05-07,82.6,81.8,82.6,81.5,0.98,1207270,81.03333333333333,81.28750000000002,79.18499999999997,0.2541666666666771,-1.8483333333333576,-2.1025000000000347,False,False,Green,Continue Watching,
2020-05-06,81.2,80.0,81.2,79.0,1.5,846520,79.96666666666665,81.4,78.78499999999998,1.4333333333333511,-1.181666666666672,-2.6150000000000237,False,False,Green,Continue Watching,
2020-05-05,79.3,79.8,80.6,78.8,0.63,522280,80.13333333333331,81.5,78.21999999999998,1.3666666666666885,-1.913333333333327,-3.280000000000016,False,False,Red,Continue Watching,
2020-05-04,79.4,81.5,81.5,79.4,2.58,917320,80.66666666666664,81.5125,77.52499999999998,0.8458333333333599,-3.1416666666666515,-3.9875000000000114,False,False,Full Red,Continue Watching,
2020-04-29,81.7,81.7,82.3,79.0,0.0,1175430,81.59999999999997,82.125,76.61499999999998,0.5250000000000341,-4.984999999999985,-5.510000000000019,False,False,Doji,Continue Watching,
2020-04-28,80.9,81.5,81.9,80.4,0.74,899940,82.0333333333333,82.1625,75.475,0.1291666666666913,-6.558333333333309,-6.6875,False,False,Red,Start Selling,
2020-04-27,82.2,83.9,83.9,81.2,2.03,1120700,82.89999999999998,81.6625,74.40499999999999,-1.237499999999983,-8.49499999999999,-7.257500000000008,False,False,Up Red,Start Selling,
2020-04-24,83.0,83.5,83.5,81.2,0.6,1028080,82.8333333333333,80.98749999999998,73.45999999999998,-1.8458333333333168,-9.37333333333332,-7.5275000000000025,False,False,Up Red,Continue Buying,
2020-04-23,83.5,85.0,85.0,82.0,1.76,1345230,81.63333333333331,79.96249999999998,72.70999999999998,-1.6708333333333345,-8.923333333333332,-7.252499999999998,False,False,Up Red,Start Selling,
2020-04-22,82.0,77.1,83.0,77.1,6.36,1796100,81.89999999999998,78.89999999999998,72.18499999999997,-3.0,-9.715000000000003,-6.7150000000000025,False,False,Down Green,Start Selling,
2020-04-21,79.4,82.1,83.4,78.6,3.29,2583970,81.89999999999995,77.61249999999998,71.52499999999998,-4.28749999999998,-10.374999999999988,-6.087500000000006,False,False,Red,Continue Buying,
2020-04-20,84.3,84.0,85.1,82.3,0.36,2181870,81.06666666666662,76.81249999999999,71.14499999999997,-4.2541666666666345,-9.921666666666653,-5.667500000000018,False,False,Green,Continue Buying,
2020-04-17,82.0,77.9,82.0,77.5,5.26,2474360,78.56666666666662,75.52499999999998,70.78999999999998,-3.0416666666666288,-7.776666666666642,-4.735000000000014,False,False,Full Green,Continue Buying,
2020-04-16,76.9,76.0,77.0,75.4,1.18,1460130,76.16666666666663,74.6,70.46999999999997,-1.5666666666666345,-5.6966666666666566,-4.130000000000024,False,False,Green,Continue Buying,
2020-04-15,76.8,76.0,78.2,75.6,1.05,1555700,75.5333333333333,73.725,70.56499999999997,-1.8083333333332945,-4.96833333333332,-3.160000000000025,False,False,Green,Continue Buying,
