Date,Close,Open,High,Low,Change,Volume,MA3,MA8,MA20,MA3_8,MA3_20,MA8_20,Short,Long,Category,Recommendation,Action
2020-05-20,46.85,46.1,46.85,46.1,0.0,738990,46.33333333333334,45.5750000000001,42.83500000000002,-0.7583333333332334,-3.498333333333313,-2.74000000000008,False,False,Short Green,Continue Buying,
2020-05-19,46.8,47.5,47.5,46.3,0.0,1378600,45.55,45.19375000000011,42.687500000000014,-0.35624999999990337,-2.8624999999999905,-2.5062500000000867,False,False,Up Red,Continue Buying,
2020-05-18,45.35,44.5,45.5,44.5,1.91,851610,45.15,44.60000000000011,42.417500000000025,-0.5499999999998977,-2.7324999999999804,-2.1825000000000827,False,False,Down Green,Start Selling,
2020-05-15,44.5,45.9,45.95,44.5,3.05,1240110,45.25,44.1750000000001,42.20000000000002,-1.0749999999999034,-3.0499999999999825,-1.9750000000000802,False,False,Full Red,Start Selling,
2020-05-14,45.6,45.6,45.8,44.85,0.0,995730,45.6,43.662500000000094,41.97000000000001,-1.9374999999999083,-3.629999999999988,-1.6925000000000807,False,False,Doji,Continue Buying,
2020-05-13,45.65,45.55,46.5,44.6,0.22,1755200,45.16666666666666,42.975000000000094,41.670000000000016,-2.1916666666665705,-3.4966666666666484,-1.3050000000000779,False,False,Green,Continue Buying,
2020-05-12,45.55,44.3,46.0,43.4,2.82,1799500,44.54999999999999,42.3062500000001,41.405000000000015,-2.243749999999892,-3.1449999999999747,-0.9012500000000828,False,False,Green,Continue Buying,
2020-05-11,44.3,44.3,44.5,43.65,0.0,1344010,43.38333333333333,41.575000000000095,41.16500000000002,-1.8083333333332303,-2.2183333333333053,-0.4100000000000748,False,False,Doji,Continue Buying,
2020-05-08,43.8,42.2,44.95,42.2,3.79,2375610,42.6,41.06250000000009,40.950000000000024,-1.537499999999902,-1.6499999999999702,-0.1125000000000682,False,False,Down Green,Continue Buying,
2020-05-07,42.05,42.0,42.4,41.6,0.12,1269830,41.466666666666654,40.756250000000094,40.68000000000002,-0.7104166666665677,-0.7866666666666404,-0.07625000000007276,False,False,Green,Continue Buying,
2020-05-06,41.95,41.2,42.3,40.9,1.82,1700870,40.816666666666656,40.5875000000001,40.520000000000024,-0.2291666666665648,-0.2966666666666313,-0.0675000000000665,False,False,Green,Start Buying,
2020-05-05,40.4,39.5,40.65,39.5,2.28,545090,40.26666666666666,40.4312500000001,40.42750000000002,0.16458333333343236,0.1608333333333647,-0.0037500000000676437,False,False,Down Green,Continue Watching,
2020-05-04,40.1,41.35,41.35,40.0,3.02,883050,40.03333333333333,40.4875000000001,40.402500000000025,0.4541666666667723,0.3691666666667004,-0.0850000000000719,False,False,Full Red,Continue Watching,
2020-04-29,40.3,40.3,40.6,39.7,0.0,707440,40.066666666666656,40.9625000000001,40.34250000000002,0.8958333333334281,0.2758333333333596,-0.6200000000000685,False,False,Doji,Continue Watching,
2020-04-28,39.7,40.2,40.5,39.05,1.24,1226410,40.41666666666666,41.100000000000094,40.152500000000025,0.6833333333334224,-0.2641666666666396,-0.947500000000062,False,False,Red,Continue Watching,
2020-04-27,40.2,41.35,41.35,40.15,2.78,1102230,40.74999999999999,41.262500000000095,39.957500000000024,0.5125000000000952,-0.7924999999999685,-1.3050000000000637,False,False,Full Red,Continue Watching,
2020-04-24,41.35,41.0,41.5,40.6,0.85,1094050,40.91666666666666,41.225000000000094,39.92250000000002,0.3083333333334295,-0.9941666666666364,-1.302500000000066,False,False,Green,Continue Watching,
2020-04-23,40.7,41.6,41.6,40.5,2.16,1233190,40.74999999999999,41.006250000000094,39.82750000000002,0.2562500000000938,-0.9224999999999708,-1.1787500000000648,False,False,Up Red,Start Selling,
2020-04-22,40.7,39.0,40.8,38.8,4.36,1125610,41.816666666666656,40.9625000000001,39.79750000000002,-0.8541666666665648,-2.019166666666635,-1.1650000000000702,False,False,Full Green,Start Selling,
2020-04-21,40.85,41.5,42.9,40.85,1.57,2649020,42.04999999999999,40.96875000000009,39.63750000000002,-1.0812499999998977,-2.412499999999973,-1.3312500000000749,False,False,Down Red,Start Selling,
2020-04-20,43.9,41.4,44.1,41.4,6.04,2466850,42.1,40.8625000000001,39.485000000000014,-1.2374999999999048,-2.6149999999999807,-1.3775000000000759,False,False,Full Green,Continue Buying,
2020-04-17,41.4,41.6,41.65,40.95,0.48,1594470,40.76666666666666,40.1750000000001,39.320000000000014,-0.5916666666665691,-1.446666666666644,-0.8550000000000749,False,False,Red,Continue Buying,
2020-04-16,41.0,40.0,41.4,39.85,2.5,1953570,40.16666666666666,39.856250000000095,39.25500000000002,-0.310416666666562,-0.9116666666666404,-0.6012500000000784,False,False,Green,Continue Buying,
2020-04-15,39.9,39.6,40.45,39.15,0.76,1210150,39.94999999999999,39.7437500000001,39.31000000000002,-0.20624999999989047,-0.6399999999999721,-0.4337500000000816,False,False,Green,Start Selling,
2020-04-14,39.6,40.35,40.35,39.0,1.86,1122090,40.23333333333332,39.7437500000001,39.282500000000034,-0.4895833333332221,-0.9508333333333,-0.4612500000000779,False,False,Up Red,Start Selling,
2020-04-13,40.35,40.9,41.4,40.35,1.34,1328310,40.36666666666665,39.65625000000009,39.142500000000034,-0.7104166666665606,-1.224166666666633,-0.5137500000000728,False,False,Down Red,Continue Buying,
2020-04-10,40.75,40.1,41.5,39.6,1.62,1638300,39.716666666666654,39.1750000000001,38.932500000000026,-0.5416666666665719,-0.7841666666666427,-0.2425000000000708,False,False,Green,Continue Buying,
2020-04-09,40.0,39.0,41.0,39.0,2.56,1936030,39.08333333333332,38.5562500000001,38.797500000000014,-0.5270833333332305,-0.28583333333330785,0.2412499999999227,False,False,Down Green,Start Selling,
2020-04-08,38.4,38.4,38.8,38.0,0.0,941540,39.11666666666665,38.4937500000001,38.842500000000015,-0.6229166666665621,-0.2741666666666376,0.3487499999999244,False,False,Balanced Doji,Start Selling,
2020-04-07,38.85,39.1,39.4,38.1,0.64,1194700,39.61666666666665,38.62500000000009,39.11250000000001,-0.9916666666665606,-0.5041666666666416,0.487499999999919,False,False,Red,Start Selling,
2020-04-06,40.1,40.8,41.05,39.9,1.72,1924660,39.63333333333333,38.78125000000009,39.48250000000001,-0.8520833333332334,-0.15083333333331694,0.7012499999999164,False,False,Red,Start Buying,
2020-04-03,39.9,40.2,40.4,39.3,0.75,851510,38.43333333333332,38.4562500000001,39.96250000000001,0.022916666666766616,1.5291666666666899,1.5062499999999233,False,False,Red,Continue Watching,
2020-04-01,38.9,36.5,39.0,36.0,6.58,595360,37.066666666666656,38.193750000000094,40.48250000000001,1.127083333333438,3.4158333333333526,2.288749999999915,False,False,Up Green,Continue Watching,
2020-03-31,36.5,36.0,37.45,35.5,1.39,383160,37.26666666666666,38.4062500000001,41.05250000000001,1.1395833333334409,3.785833333333352,2.6462499999999096,False,False,Green,Continue Watching,
