Date,Close,Open,High,Low,Change,Volume,MA3,MA8,MA20,MA3_8,MA3_20,MA8_20,Short,Long,Category,Recommendation,Action
2020-05-19,9.9,9.92,10.15,9.86,0.0,15436660,9.810000000000015,9.793749999999989,9.390500000000012,-0.016250000000027853,-0.4195000000000029,-0.40324999999997496,False,False,Short Red,Start Selling,
2020-05-18,9.73,9.78,9.85,9.68,0.51,9965320,9.860000000000015,9.723749999999988,9.38200000000001,-0.13625000000002885,-0.4780000000000051,-0.34174999999997624,False,False,Red,Start Selling,
2020-05-15,9.8,10.2,10.2,9.8,3.92,9211120,9.936666666666683,9.649999999999986,9.381500000000011,-0.2866666666666973,-0.5551666666666719,-0.26849999999997465,False,False,Full Red,Start Selling,
2020-05-14,10.05,9.88,10.3,9.79,1.72,12577730,9.903333333333348,9.546249999999986,9.376500000000009,-0.35708333333336384,-0.5268333333333395,-0.16974999999997564,False,False,Green,,
2020-05-13,9.96,9.7,10.15,9.55,2.68,19002960,9.78333333333335,9.412499999999987,9.33200000000001,-0.3708333333333621,-0.4513333333333396,-0.08049999999997759,False,False,Green,,
2020-05-12,9.7,9.69,9.75,9.46,0.1,11311610,9.63666666666668,9.304999999999987,9.286000000000008,-0.33166666666669364,-0.3506666666666725,-0.018999999999978808,False,False,Green,Start Selling,
2020-05-11,9.69,9.69,9.75,9.54,0.0,10595020,9.516666666666682,9.214999999999987,9.251500000000009,-0.3016666666666943,-0.2651666666666728,0.03650000000002152,False,False,Doji,Start Selling,
2020-05-08,9.52,9.4,9.77,9.4,1.28,15592700,9.33333333333335,9.127499999999989,9.226500000000009,-0.20583333333336284,-0.10683333333334133,0.09900000000002153,False,False,Down Green,Start Selling,
2020-05-07,9.34,9.18,9.38,9.17,1.74,12175430,9.150000000000016,9.074999999999989,9.214500000000008,-0.07500000000002949,0.06449999999999179,0.13950000000002127,False,False,Down Green,Start Selling,
2020-05-06,9.14,9.0,9.14,8.93,1.56,8419490,9.030000000000015,9.051249999999989,9.206500000000009,0.021249999999970008,0.17649999999999189,0.15525000000002187,False,False,Green,Continue Watching,
2020-05-05,8.97,8.98,9.09,8.93,0.11,4803310,9.016666666666683,9.054999999999987,9.196000000000009,0.0383333333333038,0.17933333333332513,0.14100000000002133,False,False,Red,Continue Watching,
2020-05-04,8.98,9.1,9.1,8.98,1.32,4402500,9.020000000000016,9.057499999999989,9.165000000000008,0.03749999999996945,0.1449999999999907,0.10750000000002123,False,False,Full Red,Continue Watching,
2020-04-29,9.1,9.1,9.25,9.0,0.0,3844890,9.023333333333351,9.128749999999988,9.106500000000008,0.10541666666663296,0.08316666666665462,-0.022249999999978343,False,False,Doji,Continue Watching,
2020-04-28,8.98,9.08,9.12,8.94,1.1,7077710,9.023333333333351,9.207499999999989,9.01650000000001,0.1841666666666341,-0.006833333333343461,-0.1909999999999777,False,False,Red,Continue Watching,
2020-04-27,8.99,9.18,9.23,8.99,2.07,8059440,9.08000000000002,9.299999999999986,8.94950000000001,0.2199999999999669,-0.13050000000001027,-0.3504999999999772,False,False,Down Red,Continue Watching,
2020-04-24,9.1,9.15,9.2,9.04,0.55,4794810,9.140000000000018,9.388749999999987,8.91050000000001,0.24874999999996736,-0.2295000000000105,-0.4782499999999778,False,False,Red,Continue Watching,
2020-04-23,9.15,9.35,9.38,9.15,2.14,5414960,9.103333333333355,9.396249999999988,8.890500000000008,0.29291666666663296,-0.21283333333334653,-0.5057499999999795,False,False,Down Red,Continue Watching,
2020-04-22,9.17,8.73,9.29,8.73,5.04,8168410,9.236666666666688,9.382499999999986,8.88850000000001,0.1458333333332984,-0.3481666666666783,-0.4939999999999767,False,False,Down Green,Start Selling,
2020-04-21,8.99,9.35,9.45,8.97,3.85,16193310,9.423333333333352,9.362499999999986,8.87000000000001,-0.06083333333336681,-0.5533333333333434,-0.4924999999999766,False,False,Down Red,Start Selling,
2020-04-20,9.55,9.7,9.85,9.54,1.55,11284390,9.666666666666687,9.387499999999989,8.876500000000009,-0.2791666666667005,-0.7901666666666767,-0.5109999999999761,False,False,Down Red,Start Selling,
2020-04-17,9.73,9.9,9.94,9.72,1.72,8375490,9.716666666666685,9.353749999999987,8.88900000000001,-0.362916666666699,-0.8276666666666763,-0.4647499999999774,False,False,Down Red,Start Selling,
2020-04-16,9.72,9.5,9.95,9.5,2.32,7634020,9.526666666666683,9.284999999999988,8.890000000000011,-0.2416666666666991,-0.6366666666666738,-0.3949999999999747,False,False,Down Green,Start Selling,
2020-04-15,9.7,9.2,9.8,9.18,5.43,14857170,9.300000000000018,9.186249999999989,8.904000000000009,-0.11375000000003155,-0.3960000000000079,-0.28224999999997635,False,False,Down Green,,
2020-04-14,9.16,9.1,9.16,8.94,0.66,8530630,9.070000000000016,9.017499999999988,8.929000000000013,-0.05250000000003041,-0.14100000000000534,-0.08849999999997492,False,False,Green,Start Selling,
