Date,Close,Open,High,Low,Change,Volume,MA3,MA8,MA20,MA3_8,MA3_20,MA8_20,Short,Long,Category,Recommendation,Action
2020-05-20,14.95,15.0,15.0,14.85,0.0,2795820,14.883333333333335,14.806250000000006,14.380000000000004,-0.07708333333332895,-0.5033333333333303,-0.42625000000000135,False,False,Up Red,,
2020-05-19,15.0,14.85,15.15,14.7,0.0,2165200,14.833333333333334,14.781250000000007,14.397500000000004,-0.05208333333332682,-0.4358333333333295,-0.3837500000000027,False,False,Short Green,,
2020-05-18,14.7,14.8,14.85,14.6,0.68,2165970,14.75,14.687500000000007,14.390000000000006,-0.062499999999992895,-0.3599999999999941,-0.2975000000000012,False,False,Red,,
2020-05-15,14.8,14.75,14.95,14.7,0.34,2146750,14.833333333333334,14.631250000000009,14.365000000000006,-0.2020833333333254,-0.4683333333333284,-0.266250000000003,False,False,Green,,
2020-05-14,14.75,14.95,14.95,14.7,1.34,2280700,14.733333333333334,14.550000000000008,14.332500000000005,-0.18333333333332646,-0.4008333333333294,-0.2175000000000029,False,False,Up Red,,
2020-05-13,14.95,14.5,15.2,14.3,3.1,2707620,14.75,14.475000000000009,14.302500000000004,-0.2749999999999915,-0.44749999999999623,-0.17250000000000476,False,False,Green,,
2020-05-12,14.5,14.7,14.75,14.45,1.36,2254630,14.683333333333332,14.32500000000001,14.255000000000004,-0.35833333333332185,-0.42833333333332746,-0.07000000000000561,False,False,Red,,
2020-05-11,14.8,14.8,15.0,14.6,0.0,2143070,14.6,14.21875000000001,14.205000000000004,-0.381249999999989,-0.394999999999996,-0.013750000000007034,False,False,Doji,,
2020-05-08,14.75,14.25,15.05,14.25,3.51,3442490,14.416666666666666,14.081250000000011,14.140000000000004,-0.3354166666666547,-0.27666666666666195,0.05874999999999275,False,False,Down Green,,
2020-05-07,14.25,14.2,14.35,14.0,0.35,2174480,14.216666666666667,13.993750000000011,14.077500000000004,-0.22291666666665577,-0.13916666666666266,0.08374999999999311,False,False,Green,,
2020-05-06,14.25,14.2,14.3,14.0,0.35,2158530,14.183333333333332,13.96875000000001,14.037500000000003,-0.21458333333332114,-0.1458333333333286,0.06874999999999254,False,False,Green,,
2020-05-05,14.15,14.2,14.3,14.1,0.35,2258080,14.016666666666666,13.956250000000011,14.007500000000002,-0.06041666666665435,-0.009166666666663659,0.05124999999999069,False,False,Red,,
2020-05-04,14.15,14.0,14.6,13.8,1.07,2038650,13.85,13.96875000000001,13.940000000000003,0.11875000000001101,0.09000000000000341,-0.028750000000007603,False,False,Green,,
2020-04-29,13.75,13.75,14.0,13.6,0.0,2187410,13.699999999999998,14.11250000000001,13.867500000000003,0.4125000000000121,0.16750000000000576,-0.24500000000000632,False,False,Doji,,
2020-04-28,13.65,13.7,14.05,13.5,0.36,2469770,13.799999999999997,14.250000000000009,13.815000000000003,0.4500000000000117,0.015000000000005898,-0.4350000000000058,False,False,Red,,
2020-04-27,13.7,14.1,14.1,13.7,2.84,2246300,13.93333333333333,14.318750000000009,13.780000000000005,0.3854166666666785,-0.15333333333332533,-0.5387500000000038,False,False,Full Red,,
